sequence,camera,n_comparable,n_swapped,swap_rate,verdict
p41-boxing-0021,brics-odroid-026_cam1,38,10,0.2632,occasional_swap
p41-boxing-0021,brics-odroid-027_cam0,25,13,0.52,occasional_swap
p41-boxing-0021,brics-odroid-028_cam0,23,3,0.1304,no_systematic_swap
p41-boxing-0021,brics-odroid-029_cam0,36,31,0.8611,systematic_swap
p41-boxing-0021,brics-odroid-029_cam1,37,4,0.1081,no_systematic_swap
p41-boxing-0021,brics-odroid-030_cam0,32,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-030_cam1,36,2,0.0556,no_systematic_swap
p41-plant-0004,brics-odroid-001_cam0,13,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-001_cam1,18,1,0.0556,no_systematic_swap
p41-plant-0004,brics-odroid-002_cam0,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-006_cam0,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-007_cam0,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-007_cam1,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-009_cam1,17,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-010_cam0,17,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-010_cam1,17,7,0.4118,occasional_swap
p41-plant-0004,brics-odroid-011_cam0,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-012_cam0,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-012_cam1,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-014_cam1,11,1,0.0909,no_systematic_swap
p41-plant-0004,brics-odroid-015_cam1,15,1,0.0667,no_systematic_swap
p41-plant-0004,brics-odroid-016_cam0,18,1,0.0556,no_systematic_swap
p41-plant-0004,brics-odroid-017_cam0,18,2,0.1111,no_systematic_swap
p41-plant-0004,brics-odroid-017_cam1,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-019_cam1,18,4,0.2222,occasional_swap
p41-plant-0004,brics-odroid-020_cam0,18,5,0.2778,occasional_swap
p41-plant-0004,brics-odroid-020_cam1,14,8,0.5714,occasional_swap
p41-plant-0004,brics-odroid-021_cam0,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-021_cam1,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-022_cam0,5,2,0.4,occasional_swap
p41-plant-0004,brics-odroid-022_cam1,16,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-023_cam0,18,0,0.0,no_systematic_swap
p41-plant-0004,brics-odroid-024_cam0,18,0,0.0,no_systematic_swap
