protocol,subset,condition,fold,held_out,lambda,train_median_err_pct,n_train_views
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,16,brics-odroid-016_cam0,3.0,8.9278,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,16,brics-odroid-016_cam0,10.0,9.0363,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,16,brics-odroid-016_cam0,10.0,8.8229,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,17,brics-odroid-017_cam0,3.0,8.6719,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,17,brics-odroid-017_cam0,10.0,9.138,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,17,brics-odroid-017_cam0,10.0,8.8099,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,18,brics-odroid-017_cam1,10.0,9.0375,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,18,brics-odroid-017_cam1,10.0,9.138,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,18,brics-odroid-017_cam1,10.0,8.836,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,19,brics-odroid-019_cam1,10.0,8.9989,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,19,brics-odroid-019_cam1,10.0,8.9346,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,19,brics-odroid-019_cam1,10.0,8.8099,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,20,brics-odroid-020_cam0,3.0,8.5638,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,20,brics-odroid-020_cam0,0.01,8.8667,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,20,brics-odroid-020_cam0,10.0,8.6452,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,21,brics-odroid-020_cam1,3.0,8.5224,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,21,brics-odroid-020_cam1,10.0,8.6415,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,21,brics-odroid-020_cam1,3.0,8.4311,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,22,brics-odroid-021_cam0,3.0,8.4732,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,22,brics-odroid-021_cam0,10.0,8.4221,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,22,brics-odroid-021_cam0,10.0,8.2549,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,23,brics-odroid-021_cam1,3.0,8.5224,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,23,brics-odroid-021_cam1,10.0,8.6415,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,23,brics-odroid-021_cam1,3.0,8.4311,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,24,brics-odroid-022_cam0,3.0,8.5431,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,24,brics-odroid-022_cam0,0.01,8.78,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,24,brics-odroid-022_cam0,10.0,8.6041,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,25,brics-odroid-022_cam1,3.0,8.5431,148
