sequence,camera,frame,hand,hand_size_px,centroid_dist_to_own_projection_px,centroid_dist_to_other_hand_projection_px,other_hand_is_closer,annotation_on_other_hand
p44-dog-0004/004,brics-odroid-010_cam1,272,left,273.15,56.92,138.72,0,0
p44-dog-0004/004,brics-odroid-022_cam0,112,left,166.37,130.41,4.43,1,1
p41-boxing-0021/021,brics-odroid-026_cam1,18,right,237.96,180.27,9.73,1,1
p52-instrument-0034/034,brics-odroid-014_cam1,6,left,168.37,324.86,9.22,1,1
p41-plant-0004/004,brics-odroid-030_cam1,48,left,445.03,227.81,87.59,1,1
p44-dog-0004/004,brics-odroid-020_cam0,112,right,234.31,205.23,128.76,1,1
p36-tea-0010/010,brics-odroid-002_cam0,17,right,403.75,508.51,14.16,1,1
p41-plant-0004/004,brics-odroid-022_cam0,56,right,174.8,111.38,17.48,1,1
p41-boxing-0021/021,brics-odroid-019_cam1,18,right,185.52,45.28,16.65,1,1
p52-instrument-0034/034,brics-odroid-027_cam1,36,left,165.09,403.29,22.37,1,1
p44-dog-0004/004,brics-odroid-028_cam0,304,left,438.01,363.4,77.78,1,1
p36-tea-0010/010,brics-odroid-030_cam0,0,right,260.32,485.69,227.64,1,1
p52-instrument-0034/034,brics-odroid-029_cam0,48,left,278.54,427.56,17.43,1,1
p36-tea-0010/010,brics-odroid-026_cam0,17,right,164.18,389.32,176.71,1,0
p36-tea-0010/010,brics-odroid-026_cam0,102,left,149.46,173.46,4.6,1,1
p44-dog-0004/004,brics-odroid-007_cam1,48,left,179.81,41.42,147.89,0,0
p36-tea-0010/010,brics-odroid-030_cam1,102,right,265.52,311.2,10.28,1,1
p44-dog-0004/004,brics-odroid-030_cam1,256,left,463.32,331.4,20.13,1,1
p44-dog-0004/004,brics-odroid-010_cam1,224,left,346.54,208.16,38.49,1,1
p52-instrument-0034/034,brics-odroid-027_cam1,6,right,185.38,377.78,8.65,1,1
p44-dog-0004/004,brics-odroid-028_cam0,48,right,387.13,58.85,445.86,0,0
p52-instrument-0034/034,brics-odroid-027_cam1,108,right,208.92,412.25,16.34,1,1
p52-instrument-0034/034,brics-odroid-029_cam0,54,right,228.72,462.91,6.34,1,1
p36-tea-0010/010,brics-odroid-026_cam1,85,left,202.41,242.73,11.22,1,1
p41-plant-0004/004,brics-odroid-001_cam1,136,left,274.79,121.07,14.42,1,1
p52-instrument-0034/034,brics-odroid-010_cam1,36,left,159.12,159.35,27.21,1,1
p44-dog-0004/004,brics-odroid-021_cam0,256,right,166.86,33.28,142.56,0,0
p44-dog-0004/004,brics-odroid-030_cam1,112,right,389.95,439.6,28.28,1,1
p41-boxing-0021/021,brics-odroid-028_cam0,126,left,197.03,420.39,3.67,1,1
p44-dog-0004/004,brics-odroid-014_cam1,48,right,141.9,224.82,11.8,1,1
p52-instrument-0034/034,brics-odroid-029_cam0,66,right,224.24,400.72,10.55,1,1
p44-dog-0004/004,brics-odroid-026_cam1,160,left,270.79,206.68,17.88,1,1
p36-tea-0010/010,brics-odroid-026_cam1,85,right,258.58,275.64,32.96,1,1
p41-boxing-0021/021,brics-odroid-017_cam0,144,right,175.3,99.75,147.52,0,0
p44-dog-0004/004,brics-odroid-028_cam0,176,left,401.64,58.98,221.18,0,0
p36-tea-0010/010,brics-odroid-026_cam0,68,left,150.5,192.94,10.99,1,1
p41-plant-0004/004,brics-odroid-016_cam0,40,right,185.85,69.95,9.97,1,1
p52-instrument-0034/034,brics-odroid-026_cam1,6,right,277.11,334.26,3.76,1,1
p44-dog-0004/004,brics-odroid-007_cam1,64,left,192.03,59.95,147.27,0,0
p44-dog-0004/004,brics-odroid-020_cam0,144,right,221.96,144.86,10.96,1,1
p52-instrument-0034/034,brics-odroid-029_cam0,78,left,280.92,444.36,35.16,1,1
p41-boxing-0021/021,brics-odroid-014_cam1,108,right,111.31,214.99,15.88,1,1
p44-dog-0004/004,brics-odroid-012_cam1,256,left,120.89,81.87,201.77,0,0
p44-dog-0004/004,brics-odroid-028_cam0,144,left,366.02,69.02,231.18,0,0
p44-dog-0004/004,brics-odroid-010_cam0,112,left,189.21,14.49,2.34,1,1
p52-instrument-0034/034,brics-odroid-029_cam0,0,right,218.07,414.99,28.53,1,1
p44-dog-0004/004,brics-odroid-010_cam1,256,right,481.76,56.26,227.0,0,0
p44-dog-0004/004,brics-odroid-029_cam0,144,right,251.79,181.11,8.88,1,1
p41-plant-0004/004,brics-odroid-029_cam1,152,right,318.85,93.69,160.96,0,0
p52-instrument-0034/034,brics-odroid-026_cam1,108,right,299.37,364.93,2.97,1,1
p44-dog-0004/004,brics-odroid-010_cam1,16,left,263.05,247.34,20.15,1,1
p41-plant-0004/004,brics-odroid-015_cam0,56,right,161.75,107.92,12.33,1,1
p44-dog-0004/004,brics-odroid-015_cam1,16,left,114.12,123.28,4.84,1,1
p52-instrument-0034/034,brics-odroid-027_cam0,0,right,150.75,321.86,14.58,1,1
p52-instrument-0034/034,brics-odroid-027_cam0,36,right,174.96,342.29,15.06,1,1
p36-tea-0010/010,brics-odroid-026_cam0,85,left,142.06,175.48,5.39,1,1
p41-plant-0004/004,brics-odroid-010_cam1,88,left,429.88,68.23,39.22,1,1
p36-tea-0010/010,brics-odroid-001_cam1,153,right,237.74,86.8,40.99,1,1
p52-instrument-0034/034,brics-odroid-028_cam0,108,left,152.41,386.47,13.41,1,1
p44-dog-0004/004,brics-odroid-029_cam0,272,right,211.63,214.81,6.18,1,1
p41-boxing-0021/021,brics-odroid-016_cam0,270,right,126.8,146.01,7.21,1,1
p52-instrument-0034/034,brics-odroid-014_cam1,0,left,170.43,337.51,4.87,1,1
p52-instrument-0034/034,brics-odroid-026_cam1,42,left,153.07,354.55,11.03,1,1
p52-instrument-0034/034,brics-odroid-020_cam1,84,right,134.83,325.43,16.13,1,1
p41-plant-0004/004,brics-odroid-022_cam0,24,right,190.37,53.82,50.55,1,1
p41-boxing-0021/021,brics-odroid-027_cam0,270,left,143.63,167.66,18.77,1,1
p44-dog-0004/004,brics-odroid-027_cam0,192,right,181.46,129.57,7.88,1,1
p36-tea-0010/010,brics-odroid-027_cam1,68,left,185.62,231.34,24.8,1,1
p52-instrument-0034/034,brics-odroid-027_cam0,66,right,151.86,295.91,15.21,1,1
p52-instrument-0034/034,brics-odroid-026_cam0,6,left,143.01,282.23,2.18,1,1
p41-plant-0004/004,brics-odroid-020_cam1,24,right,208.44,83.47,15.16,1,1
p36-tea-0010/010,brics-odroid-029_cam1,51,left,276.47,95.69,38.11,1,1
p41-boxing-0021/021,brics-odroid-026_cam0,162,left,114.57,314.5,3.98,1,1
p41-boxing-0021/021,brics-odroid-026_cam0,18,left,129.92,132.03,6.85,1,1
p41-boxing-0021/021,brics-odroid-029_cam0,198,left,220.63,155.82,11.35,1,1
p52-instrument-0034/034,brics-odroid-029_cam0,114,left,278.87,424.47,35.55,1,1
p36-tea-0010/010,brics-odroid-020_cam0,17,right,158.11,688.34,444.63,1,0
p44-dog-0004/004,brics-odroid-020_cam0,48,right,230.8,265.55,14.47,1,1
p52-instrument-0034/034,brics-odroid-027_cam1,6,left,167.07,373.54,7.85,1,1
p41-boxing-0021/021,brics-odroid-029_cam1,234,left,222.59,343.57,6.88,1,1
p52-instrument-0034/034,brics-odroid-014_cam1,48,right,146.66,310.58,15.62,1,1
p52-instrument-0034/034,brics-odroid-026_cam1,90,left,152.0,359.77,8.84,1,1
p41-boxing-0021/021,brics-odroid-021_cam1,36,right,110.63,121.2,13.02,1,1
p41-boxing-0021/021,brics-odroid-016_cam0,270,left,147.06,146.95,224.49,0,0
p52-instrument-0034/034,brics-odroid-026_cam0,36,left,141.53,322.32,2.46,1,1
p44-dog-0004/004,brics-odroid-029_cam0,16,right,263.23,242.85,21.55,1,1
p52-instrument-0034/034,brics-odroid-027_cam1,42,left,167.67,368.64,20.08,1,1
p52-instrument-0034/034,brics-odroid-030_cam1,0,right,364.24,526.12,19.94,1,1
p44-dog-0004/004,brics-odroid-029_cam1,112,right,293.53,246.48,7.06,1,1
p36-tea-0010/010,brics-odroid-020_cam0,153,right,130.22,286.45,464.95,0,0
p36-tea-0010/010,brics-odroid-030_cam1,85,left,245.14,311.66,1.27,1,1
p36-tea-0010/010,brics-odroid-026_cam1,102,left,194.06,79.2,288.71,0,0
p41-boxing-0021/021,brics-odroid-021_cam0,306,right,138.4,67.35,121.07,0,0
p44-dog-0004/004,brics-odroid-028_cam0,64,left,366.76,131.62,237.04,0,0
p41-boxing-0021/021,brics-odroid-027_cam1,252,left,149.36,40.09,333.53,0,0
p52-instrument-0034/034,brics-odroid-027_cam0,42,left,189.14,322.15,5.2,1,1
p41-boxing-0021/021,brics-odroid-016_cam0,216,right,113.49,130.79,4.72,1,1
p44-dog-0004/004,brics-odroid-017_cam0,112,right,246.29,9.01,212.12,0,0
p41-boxing-0021/021,brics-odroid-001_cam1,216,left,359.47,212.45,21.0,1,1
p41-plant-0004/004,brics-odroid-010_cam1,32,left,422.1,50.73,33.41,1,1
p52-instrument-0034/034,brics-odroid-027_cam1,72,right,181.22,383.8,7.4,1,1
p36-tea-0010/010,brics-odroid-030_cam1,153,left,233.04,298.34,3.52,1,1
p41-plant-0004/004,brics-odroid-020_cam1,104,right,192.98,55.49,28.73,1,1
p44-dog-0004/004,brics-odroid-009_cam1,48,left,161.75,89.71,6.29,1,1
p44-dog-0004/004,brics-odroid-030_cam0,272,right,307.03,278.95,9.91,1,1
p44-dog-0004/004,brics-odroid-030_cam1,32,left,458.95,391.46,104.03,1,1
p44-dog-0004/004,brics-odroid-016_cam0,272,right,112.69,64.3,138.09,0,0
p36-tea-0010/010,brics-odroid-026_cam0,34,left,163.0,211.18,7.61,1,1
p44-dog-0004/004,brics-odroid-030_cam0,48,right,353.15,144.74,373.99,0,0
p41-boxing-0021/021,brics-odroid-029_cam0,90,left,216.08,186.27,5.64,1,1
p52-instrument-0034/034,brics-odroid-014_cam1,114,right,117.22,347.83,15.85,1,1
p44-dog-0004/004,brics-odroid-026_cam0,16,left,133.3,492.68,314.07,1,0
p41-boxing-0021/021,brics-odroid-017_cam0,36,right,153.23,67.7,120.95,0,0
p52-instrument-0034/034,brics-odroid-027_cam0,6,right,152.87,311.21,19.53,1,1
