sequence,camera,frame,hand,view_class,median_err_distortion_on_px,median_err_distortion_off_px,delta_px,distortion_helps
p52-instrument-0034/034,brics-odroid-027_cam1,36,left,bad,409.3238,424.003,14.6792,1
p44-dog-0004/004,brics-odroid-028_cam0,304,left,bad,332.4598,413.1562,80.6964,1
p36-tea-0010/010,brics-odroid-030_cam0,0,right,bad,480.1867,536.8044,56.6176,1
p52-instrument-0034/034,brics-odroid-029_cam0,48,left,bad,400.7672,404.5457,3.7786,1
p36-tea-0010/010,brics-odroid-026_cam0,17,right,bad,390.65,483.0655,92.4155,1
p36-tea-0010/010,brics-odroid-026_cam0,102,left,bad,168.2811,168.7473,0.4662,1
p44-dog-0004/004,brics-odroid-007_cam1,48,left,bad,66.4106,65.2192,-1.1914,0
p36-tea-0010/010,brics-odroid-030_cam1,102,right,bad,302.7041,302.7416,0.0375,1
p44-dog-0004/004,brics-odroid-030_cam1,256,left,bad,337.8143,342.1378,4.3235,1
p44-dog-0004/004,brics-odroid-010_cam1,224,left,bad,213.6735,221.5248,7.8513,1
p52-instrument-0034/034,brics-odroid-027_cam1,6,right,bad,389.9156,393.5101,3.5945,1
p44-dog-0004/004,brics-odroid-028_cam0,48,right,bad,62.7587,63.3525,0.5938,1
p52-instrument-0034/034,brics-odroid-027_cam1,108,right,bad,414.6721,417.5008,2.8288,1
p52-instrument-0034/034,brics-odroid-029_cam0,54,right,bad,466.3657,489.4626,23.0969,1
p36-tea-0010/010,brics-odroid-026_cam1,254,left,bad,265.1623,266.4778,1.3155,1
p36-tea-0010/010,brics-odroid-026_cam1,85,left,bad,246.0781,249.1094,3.0313,1
p41-plant-0004/004,brics-odroid-001_cam1,136,left,bad,136.1863,114.1532,-22.0331,0
p52-instrument-0034/034,brics-odroid-010_cam1,36,left,bad,195.186,195.5348,0.3488,1
p44-dog-0004/004,brics-odroid-021_cam0,256,right,bad,71.3295,70.5667,-0.7628,0
p36-tea-0010/010,brics-odroid-027_cam1,320,right,bad,268.354,269.127,0.7729,1
p44-dog-0004/004,brics-odroid-030_cam1,112,right,bad,463.2026,477.2497,14.0471,1
p41-boxing-0021/021,brics-odroid-028_cam0,126,left,bad,421.6771,570.1671,148.4899,1
p44-dog-0004/004,brics-odroid-014_cam1,48,right,bad,238.3611,239.0154,0.6543,1
p52-instrument-0034/034,brics-odroid-029_cam0,66,right,bad,404.2612,415.9187,11.6575,1
p44-dog-0004/004,brics-odroid-026_cam1,160,left,bad,203.1936,211.0866,7.893,1
p36-tea-0010/010,brics-odroid-026_cam1,85,right,bad,270.7755,274.2776,3.502,1
p41-boxing-0021/021,brics-odroid-017_cam0,144,right,bad,110.0655,92.9533,-17.1122,0
p44-dog-0004/004,brics-odroid-028_cam0,176,left,bad,97.8504,104.7513,6.9008,1
p36-tea-0010/010,brics-odroid-026_cam0,68,left,bad,200.3841,235.8351,35.4511,1
p41-plant-0004/004,brics-odroid-016_cam0,40,right,bad,75.7149,71.9005,-3.8144,0
p52-instrument-0034/034,brics-odroid-026_cam1,6,right,bad,332.2854,332.2324,-0.053,0
p44-dog-0004/004,brics-odroid-007_cam1,64,left,bad,102.1309,106.0823,3.9514,1
p44-dog-0004/004,brics-odroid-020_cam0,144,right,bad,181.838,184.589,2.751,1
p52-instrument-0034/034,brics-odroid-029_cam0,78,left,bad,433.4049,437.2382,3.8333,1
p41-boxing-0021/021,brics-odroid-014_cam1,108,right,bad,215.6895,215.5525,-0.1371,0
p44-dog-0004/004,brics-odroid-012_cam1,256,left,bad,96.4852,95.2217,-1.2635,0
p44-dog-0004/004,brics-odroid-028_cam0,144,left,bad,106.256,106.8797,0.6237,1
p44-dog-0004/004,brics-odroid-010_cam0,112,left,bad,93.6462,93.8071,0.1609,1
p36-tea-0010/010,brics-odroid-027_cam0,337,right,bad,200.5375,216.6431,16.1056,1
p52-instrument-0034/034,brics-odroid-029_cam0,0,right,bad,419.4461,442.0585,22.6123,1
p44-dog-0004/004,brics-odroid-010_cam1,256,right,bad,62.5634,69.0599,6.4964,1
p44-dog-0004/004,brics-odroid-029_cam0,144,right,bad,183.5301,202.0801,18.55,1
p41-plant-0004/004,brics-odroid-029_cam1,152,right,bad,103.3503,100.6585,-2.6918,0
p52-instrument-0034/034,brics-odroid-026_cam1,108,right,bad,366.7094,366.7438,0.0343,1
p44-dog-0004/004,brics-odroid-010_cam1,16,left,bad,261.9134,266.2723,4.3589,1
p41-plant-0004/004,brics-odroid-015_cam0,56,right,bad,114.9057,128.9109,14.0052,1
p44-dog-0004/004,brics-odroid-015_cam1,16,left,bad,125.5638,127.3723,1.8085,1
p52-instrument-0034/034,brics-odroid-027_cam0,0,right,bad,330.5823,353.8389,23.2565,1
p52-instrument-0034/034,brics-odroid-027_cam0,36,right,bad,341.3458,379.3096,37.9637,1
p36-tea-0010/010,brics-odroid-026_cam0,85,left,bad,171.8332,183.0942,11.261,1
p36-tea-0010/010,brics-odroid-027_cam1,218,right,bad,188.8122,200.2752,11.463,1
p41-plant-0004/004,brics-odroid-010_cam1,88,left,bad,90.1287,90.1282,-0.0006,0
p36-tea-0010/010,brics-odroid-001_cam1,153,right,bad,78.2343,201.5285,123.2942,1
p52-instrument-0034/034,brics-odroid-028_cam0,108,left,bad,389.9235,412.6573,22.7338,1
p44-dog-0004/004,brics-odroid-029_cam0,272,right,bad,224.5937,255.6178,31.0242,1
p41-boxing-0021/021,brics-odroid-016_cam0,270,right,bad,141.0606,132.7528,-8.3078,0
p52-instrument-0034/034,brics-odroid-014_cam1,0,left,bad,342.9947,349.6819,6.6872,1
p52-instrument-0034/034,brics-odroid-026_cam1,42,left,bad,350.8156,371.4476,20.632,1
p52-instrument-0034/034,brics-odroid-020_cam1,84,right,bad,330.6752,330.4794,-0.1957,0
p36-tea-0010/010,brics-odroid-028_cam0,269,right,bad,294.9749,295.5445,0.5697,1
p41-plant-0004/004,brics-odroid-022_cam0,24,right,bad,74.831,69.3507,-5.4803,0
p41-boxing-0021/021,brics-odroid-027_cam0,270,left,bad,168.8008,181.2145,12.4138,1
p44-dog-0004/004,brics-odroid-027_cam0,192,right,bad,137.8924,163.1556,25.2632,1
p36-tea-0010/010,brics-odroid-027_cam1,68,left,bad,232.5537,245.6715,13.1179,1
p52-instrument-0034/034,brics-odroid-027_cam0,66,right,bad,297.1715,316.8943,19.7228,1
p52-instrument-0034/034,brics-odroid-026_cam0,6,left,bad,293.3189,301.7106,8.3916,1
p36-tea-0010/010,brics-odroid-012_cam0,218,right,bad,195.9511,205.1016,9.1505,1
p36-tea-0010/010,brics-odroid-026_cam0,320,right,bad,241.4968,244.5268,3.0301,1
p41-plant-0004/004,brics-odroid-020_cam1,24,right,bad,90.275,86.4806,-3.7944,0
p36-tea-0010/010,brics-odroid-029_cam1,51,left,bad,79.4432,79.4555,0.0124,1
p41-boxing-0021/021,brics-odroid-026_cam0,162,left,bad,317.4776,423.7782,106.3006,1
p41-boxing-0021/021,brics-odroid-026_cam0,18,left,bad,138.0527,127.1141,-10.9385,0
p41-boxing-0021/021,brics-odroid-029_cam0,198,left,bad,161.6644,163.3838,1.7194,1
p52-instrument-0034/034,brics-odroid-029_cam0,114,left,bad,417.0642,417.7779,0.7137,1
p36-tea-0010/010,brics-odroid-020_cam0,17,right,bad,708.6933,710.5436,1.8503,1
p44-dog-0004/004,brics-odroid-020_cam0,48,right,bad,261.5369,263.3194,1.7826,1
p52-instrument-0034/034,brics-odroid-027_cam1,6,left,bad,364.2012,379.0837,14.8824,1
p41-boxing-0021/021,brics-odroid-029_cam1,234,left,bad,352.1877,348.5227,-3.6651,0
p52-instrument-0034/034,brics-odroid-014_cam1,48,right,bad,309.7633,311.6762,1.9129,1
p52-instrument-0034/034,brics-odroid-026_cam1,90,left,bad,363.3537,386.4575,23.1038,1
p41-boxing-0021/021,brics-odroid-021_cam1,36,right,bad,122.2598,126.9352,4.6754,1
p41-boxing-0021/021,brics-odroid-016_cam0,270,left,bad,145.1215,143.6296,-1.492,0
p52-instrument-0034/034,brics-odroid-026_cam0,36,left,bad,327.0296,334.1297,7.1001,1
p44-dog-0004/004,brics-odroid-029_cam0,16,right,bad,260.2534,279.3565,19.1031,1
p52-instrument-0034/034,brics-odroid-027_cam1,42,left,bad,374.9583,385.898,10.9398,1
p52-instrument-0034/034,brics-odroid-030_cam1,0,right,bad,531.137,532.0747,0.9377,1
p44-dog-0004/004,brics-odroid-029_cam1,112,right,bad,270.9047,274.8418,3.9371,1
p36-tea-0010/010,brics-odroid-020_cam0,153,right,bad,288.5623,300.123,11.5607,1
p36-tea-0010/010,brics-odroid-030_cam1,85,left,bad,287.1591,298.6623,11.5032,1
p36-tea-0010/010,brics-odroid-026_cam1,102,left,bad,91.4353,91.1999,-0.2354,0
p41-boxing-0021/021,brics-odroid-021_cam0,306,right,bad,75.8168,60.0045,-15.8123,0
p44-dog-0004/004,brics-odroid-028_cam0,64,left,bad,129.6276,169.872,40.2444,1
p41-boxing-0021/021,brics-odroid-027_cam1,252,left,bad,64.3999,64.2539,-0.146,0
p52-instrument-0034/034,brics-odroid-027_cam0,42,left,bad,313.3107,313.4949,0.1842,1
p41-boxing-0021/021,brics-odroid-016_cam0,216,right,bad,125.006,114.3854,-10.6206,0
p44-dog-0004/004,brics-odroid-017_cam0,112,right,bad,88.6499,88.1278,-0.5221,0
p41-boxing-0021/021,brics-odroid-001_cam1,216,left,bad,203.8267,331.2018,127.3751,1
p41-plant-0004/004,brics-odroid-010_cam1,32,left,bad,84.1272,84.122,-0.0051,0
p52-instrument-0034/034,brics-odroid-027_cam1,72,right,bad,393.5249,394.5844,1.0595,1
p36-tea-0010/010,brics-odroid-030_cam1,153,left,bad,280.2261,280.5375,0.3114,1
p41-plant-0004/004,brics-odroid-020_cam1,104,right,bad,60.6058,60.2512,-0.3545,0
p44-dog-0004/004,brics-odroid-009_cam1,48,left,bad,92.6048,87.8086,-4.7962,0
p44-dog-0004/004,brics-odroid-030_cam0,272,right,bad,295.6636,300.9006,5.237,1
p44-dog-0004/004,brics-odroid-030_cam1,32,left,bad,409.7113,418.6565,8.9452,1
p44-dog-0004/004,brics-odroid-016_cam0,272,right,bad,83.7697,89.128,5.3584,1
p36-tea-0010/010,brics-odroid-026_cam0,34,left,bad,219.5302,236.5423,17.012,1
p44-dog-0004/004,brics-odroid-030_cam0,48,right,bad,188.0483,192.1117,4.0634,1
p41-boxing-0021/021,brics-odroid-029_cam0,90,left,bad,180.3211,179.3708,-0.9503,0
p52-instrument-0034/034,brics-odroid-014_cam1,114,right,bad,347.9341,350.5869,2.6528,1
p36-tea-0010/010,brics-odroid-020_cam1,269,right,bad,221.6789,221.5207,-0.1582,0
p44-dog-0004/004,brics-odroid-026_cam0,16,left,bad,492.4514,536.5192,44.0679,1
p41-boxing-0021/021,brics-odroid-017_cam0,36,right,bad,76.7178,62.9472,-13.7706,0
p52-instrument-0034/034,brics-odroid-027_cam0,6,right,bad,312.0568,333.615,21.5582,1
