sequence,camera,frame,hand,view_class,median_err_distortion_on_px,median_err_distortion_off_px,delta_px,distortion_helps
p44-dog-0004/004,brics-odroid-020_cam0,112,left,good,8.9177,7.9897,-0.928,0
p52-instrument-0034/034,brics-odroid-024_cam0,84,left,good,6.2832,20.815,14.5318,1
p41-plant-0004/004,brics-odroid-022_cam1,40,right,good,6.351,17.2843,10.9332,1
p41-boxing-0021/021,brics-odroid-020_cam1,0,left,good,4.849,23.5193,18.6702,1
p41-plant-0004/004,brics-odroid-009_cam1,48,right,good,5.219,17.844,12.625,1
p44-dog-0004/004,brics-odroid-024_cam0,96,right,good,6.1966,7.1396,0.943,1
p36-tea-0010/010,brics-odroid-002_cam0,0,left,good,9.6594,210.073,200.4136,1
p44-dog-0004/004,brics-odroid-014_cam1,256,left,good,9.5687,9.3717,-0.197,0
p52-instrument-0034/034,brics-odroid-020_cam1,60,left,good,9.0406,46.8725,37.8319,1
p52-instrument-0034/034,brics-odroid-011_cam0,48,right,good,2.098,2.1508,0.0528,1
p52-instrument-0034/034,brics-odroid-015_cam0,42,right,good,4.9941,16.8785,11.8844,1
p44-dog-0004/004,brics-odroid-020_cam1,32,left,good,6.4487,14.2757,7.827,1
p36-tea-0010/010,brics-odroid-002_cam0,68,right,good,7.8546,15.7689,7.9143,1
p44-dog-0004/004,brics-odroid-007_cam1,80,right,good,5.3156,15.0209,9.7053,1
p44-dog-0004/004,brics-odroid-011_cam0,304,right,good,3.1593,3.1095,-0.0498,0
p44-dog-0004/004,brics-odroid-016_cam0,176,right,good,7.9936,8.0112,0.0176,1
p52-instrument-0034/034,brics-odroid-022_cam1,12,right,good,4.4684,15.1416,10.6732,1
p36-tea-0010/010,brics-odroid-009_cam1,0,right,good,4.1821,117.7887,113.6066,1
p41-plant-0004/004,brics-odroid-015_cam1,56,right,good,4.9377,7.653,2.7153,1
p41-boxing-0021/021,brics-odroid-030_cam1,252,right,good,10.618,23.0695,12.4515,1
p36-tea-0010/010,brics-odroid-022_cam1,252,right,good,7.6083,44.9962,37.3879,1
p41-boxing-0021/021,brics-odroid-006_cam0,252,right,good,9.2309,16.913,7.6821,1
p41-plant-0004/004,brics-odroid-010_cam0,80,right,good,8.7328,18.2256,9.4928,1
p41-plant-0004/004,brics-odroid-017_cam1,24,right,good,6.1013,4.6153,-1.4861,0
p36-tea-0010/010,brics-odroid-021_cam0,34,right,good,3.9855,4.3028,0.3173,1
p41-plant-0004/004,brics-odroid-020_cam0,112,left,good,4.1419,5.5448,1.4028,1
p36-tea-0010/010,brics-odroid-024_cam0,322,left,good,6.7036,8.9637,2.2601,1
p41-plant-0004/004,brics-odroid-016_cam0,16,left,good,4.8933,12.0242,7.1309,1
p44-dog-0004/004,brics-odroid-006_cam0,256,right,good,6.7411,6.0692,-0.6719,0
p52-instrument-0034/034,brics-odroid-001_cam1,6,right,good,8.4886,24.2441,15.7555,1
p36-tea-0010/010,brics-odroid-023_cam0,305,left,good,9.1871,6.0953,-3.0919,0
p44-dog-0004/004,brics-odroid-020_cam0,240,left,good,8.0281,6.6285,-1.3996,0
p52-instrument-0034/034,brics-odroid-024_cam0,12,right,good,7.8182,7.8184,0.0002,1
p41-boxing-0021/021,brics-odroid-030_cam1,90,right,good,8.4026,8.6108,0.2081,1
p41-plant-0004/004,brics-odroid-012_cam0,32,right,good,4.5251,3.3255,-1.1996,0
p52-instrument-0034/034,brics-odroid-016_cam0,36,left,good,4.6208,61.2624,56.6416,1
p52-instrument-0034/034,brics-odroid-007_cam1,90,left,good,2.1665,13.2558,11.0893,1
p44-dog-0004/004,brics-odroid-025_cam0,256,left,good,9.4194,11.7851,2.3657,1
p36-tea-0010/010,brics-odroid-020_cam0,286,right,good,9.1328,18.9051,9.7722,1
p36-tea-0010/010,brics-odroid-017_cam1,271,left,good,9.5448,10.9078,1.3631,1
p44-dog-0004/004,brics-odroid-007_cam1,176,right,good,7.3877,12.8103,5.4227,1
p41-plant-0004/004,brics-odroid-006_cam0,80,right,good,7.4286,7.3994,-0.0292,0
p36-tea-0010/010,brics-odroid-025_cam1,85,left,good,7.8949,22.4313,14.5364,1
p41-plant-0004/004,brics-odroid-017_cam1,16,right,good,4.4305,4.0336,-0.3969,0
p44-dog-0004/004,brics-odroid-024_cam0,272,right,good,4.8532,5.8828,1.0296,1
p44-dog-0004/004,brics-odroid-017_cam0,160,right,good,8.3965,8.5591,0.1626,1
