sequence,camera,frame,hand,view_class,median_err_px,err_mirror_x_px,err_mirror_y_px,err_swap_uv_px,err_negate_x_px,resid_after_similarity_px,resid_after_translation_px,err_vs_other_hand_3d_px
p44-dog-0004/004,brics-odroid-010_cam0,224,right,good,6.2416,108.5244,116.8264,380.636,1220.959,5.5972,4.9143,88.133
p52-instrument-0034/034,brics-odroid-016_cam0,72,left,good,8.9861,822.118,373.1473,699.0382,2102.0997,3.0427,5.2911,295.3747
p52-instrument-0034/034,brics-odroid-030_cam1,0,left,good,9.9993,1008.61,309.1379,499.0793,272.465,11.7616,9.8592,539.4237
p36-tea-0010/010,brics-odroid-015_cam0,85,right,good,12.1522,290.4912,730.5164,708.8281,989.6305,5.3195,6.6949,205.4772
p52-instrument-0034/034,brics-odroid-012_cam1,72,left,good,6.3004,402.8283,484.5913,1020.1577,1682.8282,3.7895,3.5911,360.1151
p41-plant-0004/004,brics-odroid-022_cam1,8,right,good,6.5711,321.716,414.0924,475.0566,958.3012,6.3314,5.4607,106.546
p44-dog-0004/004,brics-odroid-020_cam0,192,right,bad,141.6773,148.5193,331.1388,559.4433,1185.191,62.3508,89.4901,81.0182
p52-instrument-0034/034,brics-odroid-027_cam0,72,right,bad,332.408,347.8698,524.2235,251.14,937.5677,18.6578,61.4438,57.1838
p44-dog-0004/004,brics-odroid-028_cam0,160,left,bad,122.1889,720.8281,246.7434,297.0586,568.2281,6.4041,75.4694,244.8219
p44-dog-0004/004,brics-odroid-019_cam1,272,right,bad,187.2969,506.7407,189.5089,791.0296,1784.7715,45.4489,62.8753,79.0059
p41-boxing-0021/021,brics-odroid-014_cam1,342,right,bad,177.3626,95.7504,281.6018,633.2016,1374.513,16.7616,32.3064,18.2309
p44-dog-0004/004,brics-odroid-014_cam1,176,right,bad,150.126,43.3902,301.4756,578.5616,1259.8888,21.7693,29.9186,18.6998
p44-dog-0004/004,brics-odroid-010_cam1,128,left,bad,241.9804,132.922,255.6077,377.4311,1190.747,18.4768,51.6148,28.9206
p44-dog-0004/004,brics-odroid-030_cam1,240,left,bad,373.9275,243.414,329.3835,511.6116,1253.1783,25.5667,119.4214,42.3434
p52-instrument-0034/034,brics-odroid-026_cam1,0,left,bad,363.1894,401.4308,417.1256,919.7254,1659.8132,41.8502,55.7956,19.951
p41-plant-0004/004,brics-odroid-015_cam1,96,right,bad,95.7491,213.9109,311.424,752.628,1490.0728,9.6047,20.4481,53.6545
p41-boxing-0021/021,brics-odroid-021_cam1,126,right,bad,181.1026,309.8065,618.1137,1033.1136,1565.3014,9.035,32.1761,31.2729
p52-instrument-0034/034,brics-odroid-027_cam0,114,right,bad,329.7247,350.5113,519.0239,267.2059,931.9232,22.6631,51.2841,55.9283
p44-dog-0004/004,brics-odroid-028_cam0,0,left,bad,125.0982,909.28,240.3544,393.8547,379.2012,19.3296,39.5001,260.1986
p44-dog-0004/004,brics-odroid-029_cam1,304,right,bad,211.3257,593.6074,196.1598,677.4331,1860.1883,25.903,56.6909,12.2323
p44-dog-0004/004,brics-odroid-015_cam1,288,left,bad,84.6755,200.3952,120.2639,604.5058,1480.1099,23.5866,34.1192,16.2254
p41-boxing-0021/021,brics-odroid-029_cam0,234,left,bad,286.9277,476.777,265.5709,95.137,898.2209,12.8182,46.648,43.8684
p44-dog-0004/004,brics-odroid-029_cam1,272,right,bad,214.1079,577.5855,193.7506,662.6192,1839.4708,29.4876,61.9937,16.8933
p41-boxing-0021/021,brics-odroid-027_cam0,144,right,bad,163.135,474.9214,618.1639,354.8693,824.1653,18.6494,37.7702,10.7067
p36-tea-0010/010,brics-odroid-010_cam0,305,left,bad,113.5844,335.8362,306.3014,835.9177,1601.8461,37.9493,58.8528,
p44-dog-0004/004,brics-odroid-019_cam1,80,right,bad,173.8376,279.4388,195.2334,679.7824,1557.7046,15.5258,19.4474,59.255
p52-instrument-0034/034,brics-odroid-029_cam0,72,right,bad,445.1141,250.2711,495.6228,460.175,1056.4935,24.8115,28.3572,18.3076
p41-plant-0004/004,brics-odroid-020_cam1,16,right,bad,70.6955,270.2764,127.8245,656.8547,1548.0387,14.7758,16.7741,19.7466
p36-tea-0010/010,brics-odroid-028_cam0,237,left,bad,76.8118,628.3627,226.4335,122.5841,664.5541,43.3191,50.0773,
p44-dog-0004/004,brics-odroid-029_cam1,0,right,bad,178.7025,386.7302,134.7204,596.7577,1650.6274,35.8705,91.6228,23.514
p36-tea-0010/010,brics-odroid-026_cam0,51,left,bad,199.6989,372.0166,422.5812,212.6626,968.8005,22.367,26.4921,36.062
p36-tea-0010/010,brics-odroid-026_cam0,102,right,bad,188.5957,489.6731,321.484,240.9149,826.9644,18.4028,40.0817,15.9351
p52-instrument-0034/034,brics-odroid-027_cam0,84,right,bad,337.0318,353.5837,519.7488,269.4632,930.014,16.1215,59.0362,57.7384
p44-dog-0004/004,brics-odroid-026_cam0,224,left,bad,504.3446,745.6006,327.9819,507.4,843.8283,13.3896,29.5933,317.6906
p44-dog-0004/004,brics-odroid-020_cam0,96,right,bad,189.3568,72.8169,260.1625,521.031,1248.2805,8.1695,47.2055,99.0715
p41-plant-0004/004,brics-odroid-015_cam1,152,right,bad,103.5063,210.4421,288.9305,750.4799,1490.1341,15.733,50.2226,14.0377
p41-boxing-0021/021,brics-odroid-029_cam0,180,left,bad,166.3619,259.1578,322.2766,160.428,1031.3123,13.3456,39.6566,37.9581
p41-boxing-0021/021,brics-odroid-026_cam0,288,right,bad,158.2742,645.93,530.8281,443.4416,636.183,18.0367,24.5297,44.792
p44-dog-0004/004,brics-odroid-019_cam1,256,right,bad,134.0223,410.1516,140.6579,695.1831,1689.3402,12.3229,12.7095,30.1352
p44-dog-0004/004,brics-odroid-029_cam0,64,right,bad,273.7318,583.4185,282.8198,259.7606,727.5353,40.65,79.4079,12.7223
p36-tea-0010/010,brics-odroid-020_cam1,320,right,bad,227.3175,264.5788,203.0751,660.1985,1510.5358,21.0835,42.8822,
p44-dog-0004/004,brics-odroid-012_cam1,240,left,bad,66.9305,59.9702,394.3624,664.1826,1263.7872,24.573,35.2942,169.3179
p52-instrument-0034/034,brics-odroid-029_cam0,108,right,bad,446.2303,244.0885,493.7493,468.9903,1052.9412,27.1295,36.9448,22.02
p52-instrument-0034/034,brics-odroid-029_cam0,12,right,bad,400.3396,220.2215,446.0038,463.9404,1091.2151,32.2133,31.2328,31.1319
p41-plant-0004/004,brics-odroid-010_cam0,48,left,bad,76.3774,124.0675,403.3366,756.0307,1365.5201,8.7484,47.5749,177.1364
p36-tea-0010/010,brics-odroid-020_cam1,153,right,bad,171.3941,309.2662,448.8858,917.0464,1573.9049,20.1814,33.2859,21.0208
p44-dog-0004/004,brics-odroid-011_cam0,112,left,bad,75.9041,89.71,71.3671,447.582,1294.2745,25.1645,32.2643,174.8008
p41-boxing-0021/021,brics-odroid-029_cam0,234,right,bad,288.155,467.5643,279.8668,106.7943,904.8913,18.1631,36.8039,50.8856
p44-dog-0004/004,brics-odroid-014_cam1,112,right,bad,225.3696,40.8617,259.5474,522.0675,1278.2813,27.7918,39.3224,19.1136
p44-dog-0004/004,brics-odroid-020_cam1,240,right,bad,178.3094,382.7568,189.5228,613.7283,1662.2088,24.2872,32.3521,23.5501
p44-dog-0004/004,brics-odroid-028_cam0,96,right,bad,64.1687,328.7937,82.6013,190.4139,967.2224,11.389,26.0798,443.5757
p52-instrument-0034/034,brics-odroid-029_cam0,42,right,bad,391.3914,203.9088,456.4901,493.1273,1097.2775,32.8967,42.4522,23.8549
p41-boxing-0021/021,brics-odroid-024_cam0,270,right,bad,69.6145,494.914,132.7486,156.1901,794.9738,10.1375,10.5061,151.4159
p36-tea-0010/010,brics-odroid-027_cam1,153,right,bad,199.0056,217.7705,314.4718,116.7811,1074.4144,23.4459,41.6064,25.6766
p36-tea-0010/010,brics-odroid-008_cam0,339,left,bad,266.6519,239.3853,370.9539,596.0844,1237.255,48.6174,58.4063,
p36-tea-0010/010,brics-odroid-030_cam0,286,right,bad,194.16,390.7725,557.6429,546.9522,941.8989,12.2841,64.6289,
p44-dog-0004/004,brics-odroid-014_cam1,288,right,bad,161.9815,27.4897,183.881,466.7545,1268.0748,28.427,21.5386,21.5275
p36-tea-0010/010,brics-odroid-001_cam0,220,left,bad,60.8577,323.6352,138.2437,753.4892,1603.6293,43.4242,39.2614,
p41-boxing-0021/021,brics-odroid-026_cam1,270,left,bad,191.8514,228.0569,77.9251,509.17,1410.3514,22.9476,31.8991,61.8465
p44-dog-0004/004,brics-odroid-028_cam0,112,left,bad,119.3837,933.7086,246.6776,430.1452,350.5749,16.2457,27.7805,270.1294
p36-tea-0010/010,brics-odroid-020_cam0,0,right,bad,720.2993,628.9674,730.5871,1112.4174,1896.8648,10.35,30.0264,431.3859
p44-dog-0004/004,brics-odroid-026_cam1,224,left,bad,294.1,356.2414,235.263,696.1369,1560.2881,35.9297,66.3075,46.9092
p41-boxing-0021/021,brics-odroid-019_cam1,270,right,bad,139.7696,449.9703,673.45,1179.1019,1726.5518,72.7361,85.3432,127.6097
p52-instrument-0034/034,brics-odroid-029_cam0,18,right,bad,365.3021,233.9328,402.1514,436.9231,1085.8859,29.7446,34.9739,37.0493
p44-dog-0004/004,brics-odroid-015_cam1,64,left,bad,113.6541,252.8058,158.6793,677.5668,1530.737,36.0312,64.1398,13.1121
p36-tea-0010/010,brics-odroid-030_cam0,34,right,bad,450.5302,611.4963,622.8144,446.2392,869.3131,4.4431,72.2739,649.9184
p44-dog-0004/004,brics-odroid-020_cam0,272,right,bad,187.8476,110.3815,212.7786,565.9667,1384.0431,45.4786,49.1114,21.0042
p41-boxing-0021/021,brics-odroid-021_cam1,144,right,bad,125.0999,206.3614,595.0836,949.298,1482.9571,13.8644,25.199,33.1884
p41-boxing-0021/021,brics-odroid-029_cam0,198,right,bad,164.4915,356.3842,314.7165,159.3012,938.4699,31.4745,40.2518,26.0998
p44-dog-0004/004,brics-odroid-019_cam1,288,right,bad,133.564,410.0201,143.8464,699.3839,1689.6358,7.231,8.1492,32.4587
p44-dog-0004/004,brics-odroid-028_cam0,96,left,bad,135.6317,950.0519,205.3967,389.5156,335.6752,21.3021,21.4878,266.5231
p36-tea-0010/010,brics-odroid-014_cam1,254,left,bad,205.6831,89.1077,505.0008,754.497,1285.6333,19.2965,52.5247,
p52-instrument-0034/034,brics-odroid-027_cam0,66,left,bad,314.3251,311.2895,522.6147,243.0988,977.3579,23.743,66.7993,49.1106
p44-dog-0004/004,brics-odroid-030_cam1,16,right,bad,404.7282,293.7021,414.2033,414.5971,1130.2874,58.4871,125.3642,112.1536
p52-instrument-0034/034,brics-odroid-010_cam1,66,left,bad,115.7153,98.4318,281.8609,603.589,1273.2282,52.3618,87.9734,112.2006
p44-dog-0004/004,brics-odroid-015_cam1,32,left,bad,130.5246,283.7592,186.1945,711.1186,1557.4937,38.8471,63.5584,12.4365
p44-dog-0004/004,brics-odroid-022_cam1,304,left,bad,73.8161,90.7216,447.3983,672.7424,1211.7002,34.0184,60.8341,153.6053
p44-dog-0004/004,brics-odroid-019_cam1,48,right,bad,171.2826,275.9686,171.0061,670.527,1537.8518,20.3356,28.2317,59.5819
p44-dog-0004/004,brics-odroid-010_cam1,176,left,bad,100.4067,122.4736,172.6861,436.7888,1215.174,52.0564,80.1166,129.4419
p44-dog-0004/004,brics-odroid-030_cam1,240,right,bad,374.5674,242.6705,318.7202,511.9771,1256.7916,53.4585,98.1278,107.3467
p52-instrument-0034/034,brics-odroid-027_cam1,90,right,bad,396.3674,162.1998,483.2993,430.6641,1440.9562,20.6947,55.0441,43.463
p44-dog-0004/004,brics-odroid-017_cam1,32,right,bad,83.9181,172.1698,100.9703,524.3922,1445.481,28.3841,32.254,247.7608
p44-dog-0004/004,brics-odroid-026_cam0,48,left,bad,501.3255,766.8741,324.9429,505.8143,825.9621,8.7967,42.9619,340.666
p44-dog-0004/004,brics-odroid-010_cam1,272,left,bad,60.2516,547.3363,157.0595,76.811,732.7364,13.9933,15.9648,160.2362
p44-dog-0004/004,brics-odroid-022_cam0,112,left,bad,126.1654,391.8156,465.1197,989.5894,1668.831,24.6669,62.4038,30.7244
p41-boxing-0021/021,brics-odroid-026_cam1,18,right,bad,185.4599,130.5159,239.9435,386.1866,1401.9308,18.1442,53.8992,20.2241
p52-instrument-0034/034,brics-odroid-014_cam1,6,left,bad,317.3451,158.3078,499.8471,809.5343,1438.2282,15.5156,54.3897,49.8688
p41-plant-0004/004,brics-odroid-030_cam1,48,left,bad,238.9915,116.0261,284.9464,340.7477,1271.5924,30.886,59.9753,100.3203
p44-dog-0004/004,brics-odroid-020_cam0,112,right,bad,234.3597,141.3107,215.6547,479.318,1241.0061,26.5908,49.7721,108.1115
p36-tea-0010/010,brics-odroid-002_cam0,17,right,bad,514.0381,546.1546,807.3852,640.7514,771.0396,35.2766,90.2276,14.0621
p41-plant-0004/004,brics-odroid-022_cam0,56,right,bad,119.2856,222.934,642.6748,1017.5605,1497.9827,2.1459,42.2757,29.6935
p41-boxing-0021/021,brics-odroid-019_cam1,18,right,bad,79.9237,558.7667,276.2993,994.1549,1827.6638,47.9045,64.7481,74.4567
p36-tea-0010/010,brics-odroid-027_cam0,218,right,bad,164.6994,597.8645,385.1473,286.9169,687.6709,16.1444,29.4904,
p52-instrument-0034/034,brics-odroid-027_cam1,36,left,bad,409.3238,150.2363,514.4332,420.7339,1426.6216,39.1675,69.1261,60.9667
p44-dog-0004/004,brics-odroid-028_cam0,304,left,bad,332.4598,842.4861,354.2203,301.4511,443.1793,52.3272,75.8888,102.9145
p36-tea-0010/010,brics-odroid-030_cam0,0,right,bad,480.1867,479.4345,480.7819,439.464,860.3271,33.5389,65.2049,231.8323
p52-instrument-0034/034,brics-odroid-029_cam0,48,left,bad,400.7672,245.5658,479.9632,463.0299,1074.5667,24.0416,92.2523,96.5739
p36-tea-0010/010,brics-odroid-026_cam0,17,right,bad,390.65,623.0075,500.5846,456.6237,671.4079,39.545,70.7777,187.6427
p36-tea-0010/010,brics-odroid-026_cam0,102,left,bad,168.2811,487.3586,311.8506,216.5267,812.4835,28.7965,44.514,26.9703
p44-dog-0004/004,brics-odroid-007_cam1,48,left,bad,66.4106,533.1443,151.9332,138.7499,754.4602,11.2666,41.0049,157.6954
p36-tea-0010/010,brics-odroid-030_cam1,102,right,bad,302.7041,180.0774,291.0153,372.0353,1110.44,29.187,64.7091,42.6983
p44-dog-0004/004,brics-odroid-030_cam1,256,left,bad,337.8143,224.5633,290.6803,494.4283,1294.4827,29.2328,123.0875,43.0742
p44-dog-0004/004,brics-odroid-010_cam1,224,left,bad,213.6735,148.7038,236.1527,279.0076,1131.5835,11.3825,27.9099,44.5513
p52-instrument-0034/034,brics-odroid-027_cam1,6,right,bad,389.9156,196.7741,477.8096,413.3767,1476.3677,22.1951,26.3512,28.9511
p44-dog-0004/004,brics-odroid-028_cam0,48,right,bad,62.7587,315.1871,78.0146,211.7269,972.4672,11.7182,29.2402,471.2456
p52-instrument-0034/034,brics-odroid-027_cam1,108,right,bad,414.6721,181.1124,513.1079,417.4145,1460.2149,19.3892,32.6547,32.6277
p52-instrument-0034/034,brics-odroid-029_cam0,54,right,bad,466.3657,282.9905,512.6978,457.7013,1020.4678,21.861,25.3554,15.267
p36-tea-0010/010,brics-odroid-026_cam1,254,left,bad,265.1623,205.3583,320.4607,716.4776,1436.8953,43.3673,52.519,
p36-tea-0010/010,brics-odroid-026_cam1,85,left,bad,246.0781,274.8736,324.0758,783.8898,1502.3145,34.7286,58.4853,26.596
p41-plant-0004/004,brics-odroid-001_cam1,136,left,bad,136.1863,762.163,340.1686,705.5727,2040.1197,43.5958,42.1487,95.5754
p52-instrument-0034/034,brics-odroid-010_cam1,36,left,bad,195.186,152.1812,365.0088,686.6098,1344.3283,73.2813,106.3143,156.265
p44-dog-0004/004,brics-odroid-021_cam0,256,right,bad,71.3295,367.9148,204.7757,782.1676,1644.296,38.7709,32.1182,153.0389
p36-tea-0010/010,brics-odroid-027_cam1,320,right,bad,268.354,127.3985,426.9167,286.2594,1270.8797,21.839,44.1629,
p44-dog-0004/004,brics-odroid-030_cam1,112,right,bad,463.2026,330.9839,450.9012,465.4438,1108.5254,50.2184,131.7111,107.1041
p41-boxing-0021/021,brics-odroid-028_cam0,126,left,bad,421.6771,800.8411,471.2873,247.6297,486.9209,24.2956,44.3842,52.787
p44-dog-0004/004,brics-odroid-014_cam1,48,right,bad,238.3611,60.1208,261.1693,532.6601,1282.2642,33.7691,45.5268,21.4594
p52-instrument-0034/034,brics-odroid-029_cam0,66,right,bad,404.2612,221.9144,455.6202,454.5822,1096.3297,26.3987,31.003,20.1566
p44-dog-0004/004,brics-odroid-026_cam1,160,left,bad,203.1936,342.6489,280.9204,787.1163,1610.1566,10.5724,78.4872,59.9507
p36-tea-0010/010,brics-odroid-026_cam1,85,right,bad,270.7755,325.32,330.6623,796.9869,1527.7691,17.155,60.3968,50.0149
p41-boxing-0021/021,brics-odroid-017_cam0,144,right,bad,110.0655,679.2179,168.4086,785.2569,1957.7547,58.1878,56.7627,177.341
p44-dog-0004/004,brics-odroid-028_cam0,176,left,bad,97.8504,709.3111,222.3414,291.8993,584.8544,26.6451,70.4814,230.9648
p36-tea-0010/010,brics-odroid-026_cam0,68,left,bad,200.3841,433.5791,484.4385,281.0151,909.9084,43.9507,60.9786,40.6691
p41-plant-0004/004,brics-odroid-016_cam0,40,right,bad,75.7149,387.1014,251.4054,507.5493,1666.524,19.6233,20.6285,20.0101
p52-instrument-0034/034,brics-odroid-026_cam1,6,right,bad,332.2854,420.0345,413.0461,913.7273,1692.698,24.4667,57.9322,39.9645
p44-dog-0004/004,brics-odroid-007_cam1,64,left,bad,102.1309,578.204,157.1999,115.5788,713.604,20.3075,72.6476,165.6663
p44-dog-0004/004,brics-odroid-020_cam0,144,right,bad,181.838,148.0675,392.8032,614.9278,1193.6999,46.7253,106.3638,99.8173
p52-instrument-0034/034,brics-odroid-029_cam0,78,left,bad,433.4049,265.951,495.7888,444.6384,1057.9123,46.5622,94.8212,101.3989
p41-boxing-0021/021,brics-odroid-014_cam1,108,right,bad,215.6895,207.6555,408.6886,696.0782,1288.8694,16.6714,21.3245,27.6525
p44-dog-0004/004,brics-odroid-012_cam1,256,left,bad,96.4852,48.9258,416.0451,673.3781,1274.5322,4.1824,32.2742,205.6197
p44-dog-0004/004,brics-odroid-028_cam0,144,left,bad,106.256,705.8101,243.4815,295.5967,583.737,22.0355,66.317,242.1838
p44-dog-0004/004,brics-odroid-010_cam0,112,left,bad,93.6462,73.1914,126.0196,383.0663,1240.4062,49.094,86.8392,11.8094
p36-tea-0010/010,brics-odroid-027_cam0,337,right,bad,200.5375,553.8484,513.6464,371.0337,728.3301,11.2736,19.4895,
p52-instrument-0034/034,brics-odroid-029_cam0,0,right,bad,419.4461,249.9006,468.6631,474.694,1057.3363,34.8649,34.0247,35.0338
p44-dog-0004/004,brics-odroid-010_cam1,256,right,bad,62.5634,194.0756,266.7754,124.025,1085.9562,14.7806,28.908,220.8528
p44-dog-0004/004,brics-odroid-029_cam0,144,right,bad,183.5301,441.7455,238.3527,230.3362,838.284,10.7781,75.3615,53.9707
p41-plant-0004/004,brics-odroid-029_cam1,152,right,bad,103.3503,483.457,151.8721,657.8592,1758.0125,17.0053,53.0342,175.7681
p52-instrument-0034/034,brics-odroid-026_cam1,108,right,bad,366.7094,409.1889,438.9084,921.1513,1666.0378,32.6511,58.2991,38.0883
p44-dog-0004/004,brics-odroid-010_cam1,16,left,bad,261.9134,213.8403,234.1986,285.7167,1094.921,54.3927,58.8009,121.188
p41-plant-0004/004,brics-odroid-015_cam0,56,right,bad,114.9057,329.074,548.4741,539.2676,951.4585,35.5481,37.3299,15.2258
p44-dog-0004/004,brics-odroid-015_cam1,16,left,bad,125.5638,293.1048,200.1916,723.8357,1566.818,32.1135,58.5285,16.6704
p52-instrument-0034/034,brics-odroid-027_cam0,0,right,bad,330.5823,339.6715,511.0726,257.9473,942.3667,18.8309,53.2072,56.6503
p52-instrument-0034/034,brics-odroid-027_cam0,36,right,bad,341.3458,354.2092,505.3602,280.1611,925.8185,18.3023,62.067,56.0191
p36-tea-0010/010,brics-odroid-026_cam0,85,left,bad,171.8332,412.5458,354.2877,193.8226,917.3177,29.6973,41.853,31.2191
p36-tea-0010/010,brics-odroid-027_cam1,218,right,bad,188.8122,282.466,300.1649,81.163,1002.3811,23.3861,37.7618,
p41-plant-0004/004,brics-odroid-010_cam1,88,left,bad,90.1287,178.6535,258.4889,611.7027,1353.1166,45.8385,48.1567,75.6196
p36-tea-0010/010,brics-odroid-001_cam1,153,right,bad,78.2343,1145.1939,87.1731,1263.3622,2424.4413,15.7671,24.8255,58.4821
p52-instrument-0034/034,brics-odroid-028_cam0,108,left,bad,389.9235,513.3687,242.5737,113.6504,920.8986,50.2168,87.0928,72.5122
p44-dog-0004/004,brics-odroid-029_cam0,272,right,bad,224.5937,571.2669,373.5616,276.0999,722.7441,34.2008,43.461,12.6739
p41-boxing-0021/021,brics-odroid-016_cam0,270,right,bad,141.0606,615.964,182.3474,751.8904,1891.741,19.2151,28.9158,12.6159
p52-instrument-0034/034,brics-odroid-014_cam1,0,left,bad,342.9947,139.2421,503.5931,802.3521,1419.1545,9.8545,68.9076,52.0565
p52-instrument-0034/034,brics-odroid-026_cam1,42,left,bad,350.8156,379.4428,417.4335,874.3686,1641.3942,43.8279,47.7245,63.1084
p52-instrument-0034/034,brics-odroid-020_cam1,84,right,bad,330.6752,451.6872,388.4021,883.791,1729.728,35.9285,72.5791,63.7227
p36-tea-0010/010,brics-odroid-028_cam0,269,right,bad,294.9749,379.6956,220.6719,194.2612,979.5954,32.7563,66.2054,
p41-plant-0004/004,brics-odroid-022_cam0,24,right,bad,74.831,221.3957,559.228,934.5892,1501.1972,28.2234,41.0289,49.2894
p41-boxing-0021/021,brics-odroid-027_cam0,270,left,bad,168.8008,375.0282,570.3897,294.5539,938.8563,16.8987,45.5512,18.1907
p44-dog-0004/004,brics-odroid-027_cam0,192,right,bad,137.8924,490.0937,542.4802,347.7324,790.4845,29.8353,55.8132,47.445
p36-tea-0010/010,brics-odroid-027_cam1,68,left,bad,232.5537,166.535,456.1641,256.6876,1323.5049,42.7911,46.1031,83.2945
p52-instrument-0034/034,brics-odroid-027_cam0,66,right,bad,297.1715,307.8998,514.2308,203.8536,974.8227,20.8494,57.3086,54.3102
p52-instrument-0034/034,brics-odroid-026_cam0,6,left,bad,293.3189,328.0609,517.1994,313.0673,1004.0139,26.1172,31.2498,9.4297
p36-tea-0010/010,brics-odroid-012_cam0,218,right,bad,195.9511,337.6421,310.2726,455.6563,1035.8177,16.9088,32.1212,
p36-tea-0010/010,brics-odroid-026_cam0,320,right,bad,241.4968,427.7445,448.5594,277.9401,933.0696,14.2855,47.5359,
p41-plant-0004/004,brics-odroid-020_cam1,24,right,bad,90.275,281.2563,154.5882,677.0735,1561.1558,20.7289,20.6911,20.2636
p36-tea-0010/010,brics-odroid-029_cam1,51,left,bad,79.4432,102.778,53.2162,425.3408,1308.387,34.286,86.1664,74.7052
p41-boxing-0021/021,brics-odroid-026_cam0,162,left,bad,317.4776,583.9261,508.0251,330.1273,800.6538,8.7471,23.6833,42.0164
p41-boxing-0021/021,brics-odroid-026_cam0,18,left,bad,138.0527,629.4261,610.6432,486.806,653.195,15.1456,44.0585,10.1575
p41-boxing-0021/021,brics-odroid-029_cam0,198,left,bad,161.6644,337.759,290.2377,169.1119,957.115,14.2367,50.3022,64.9265
p52-instrument-0034/034,brics-odroid-029_cam0,114,left,bad,417.0642,230.5667,484.5291,470.8266,1082.5486,36.8549,95.9493,61.1405
p36-tea-0010/010,brics-odroid-020_cam0,17,right,bad,708.6933,595.2765,709.2614,1127.3054,1852.0883,13.0415,30.8721,467.61
p44-dog-0004/004,brics-odroid-020_cam0,48,right,bad,261.5369,95.3071,315.0412,588.7332,1297.7107,37.3345,33.5746,33.9156
p52-instrument-0034/034,brics-odroid-027_cam1,6,left,bad,364.2012,188.5401,477.9942,400.3436,1467.8831,38.6631,63.4848,49.4307
p41-boxing-0021/021,brics-odroid-029_cam1,234,left,bad,352.1877,716.5537,264.2015,983.7867,1962.4643,24.5154,58.7751,25.605
p52-instrument-0034/034,brics-odroid-014_cam1,48,right,bad,309.7633,143.175,484.1412,784.9816,1417.9144,21.075,74.7741,58.657
p52-instrument-0034/034,brics-odroid-026_cam1,90,left,bad,363.3537,384.5824,429.1526,913.057,1650.1657,32.9164,51.7132,17.1752
p41-boxing-0021/021,brics-odroid-021_cam1,36,right,bad,122.2598,228.2624,503.2577,910.3241,1503.0215,16.6164,33.7076,22.3719
p41-boxing-0021/021,brics-odroid-016_cam0,270,left,bad,145.1215,840.7287,138.285,923.3836,2115.9157,6.9031,27.0422,226.99
p52-instrument-0034/034,brics-odroid-026_cam0,36,left,bad,327.0296,373.7158,490.8614,356.0332,994.5454,29.4075,32.2621,7.714
p44-dog-0004/004,brics-odroid-029_cam0,16,right,bad,260.2534,565.2115,252.6206,243.1915,751.1279,35.6148,73.3406,27.6933
p52-instrument-0034/034,brics-odroid-027_cam1,42,left,bad,374.9583,187.2618,481.1848,401.0779,1465.9367,39.6401,66.1559,51.3418
p52-instrument-0034/034,brics-odroid-030_cam1,0,right,bad,531.137,456.4722,633.3502,453.3,834.9732,30.0711,102.0282,71.3377
p44-dog-0004/004,brics-odroid-029_cam1,112,right,bad,270.9047,442.1417,133.7417,592.572,1667.4823,44.1524,109.7164,12.5505
p36-tea-0010/010,brics-odroid-020_cam0,153,right,bad,288.5623,315.0564,393.0961,586.7449,1165.7511,3.1497,31.2945,454.1775
p36-tea-0010/010,brics-odroid-030_cam1,85,left,bad,287.1591,356.9418,324.1824,278.9807,956.7744,42.4304,81.5633,72.6963
p36-tea-0010/010,brics-odroid-026_cam1,102,left,bad,91.4353,288.4682,91.86,655.0409,1561.9218,8.6958,36.7956,280.0064
p41-boxing-0021/021,brics-odroid-021_cam0,306,right,bad,75.8168,524.2403,499.8189,1119.9786,1802.5498,33.9014,36.7283,130.5542
p44-dog-0004/004,brics-odroid-028_cam0,64,left,bad,129.6276,925.6524,210.7833,383.1569,357.7898,18.7024,38.672,266.772
p41-boxing-0021/021,brics-odroid-027_cam1,252,left,bad,64.3999,55.0837,207.1136,281.3689,1311.0168,19.9016,41.909,327.397
p52-instrument-0034/034,brics-odroid-027_cam0,42,left,bad,313.3107,304.1864,496.6956,241.3395,976.1326,20.0429,42.958,53.0136
p41-boxing-0021/021,brics-odroid-016_cam0,216,right,bad,125.006,638.8054,193.4878,750.3941,1916.423,18.6737,29.8048,12.5503
p44-dog-0004/004,brics-odroid-017_cam0,112,right,bad,88.6499,241.2841,109.4529,489.0153,1518.6336,15.674,73.4605,240.8116
p41-boxing-0021/021,brics-odroid-001_cam1,216,left,bad,203.8267,968.6721,677.239,602.0684,2240.7428,17.9352,77.5769,27.0035
p41-plant-0004/004,brics-odroid-010_cam1,32,left,bad,84.1272,145.7664,136.1015,504.461,1267.5681,22.8655,50.0587,31.971
p52-instrument-0034/034,brics-odroid-027_cam1,72,right,bad,393.5249,187.5434,490.7457,396.1888,1466.8373,16.0218,19.7373,26.6023
p36-tea-0010/010,brics-odroid-030_cam1,153,left,bad,280.2261,134.4686,270.9438,524.4826,1400.1119,37.781,46.4226,64.7825
p41-plant-0004/004,brics-odroid-020_cam1,104,right,bad,60.6058,281.1807,116.2086,657.5105,1561.0872,12.953,27.4741,34.4219
p44-dog-0004/004,brics-odroid-009_cam1,48,left,bad,92.6048,501.3644,92.5142,122.9542,781.812,35.7276,69.8436,12.2971
p44-dog-0004/004,brics-odroid-030_cam0,272,right,bad,295.6636,193.6199,257.6337,426.7853,1166.7885,43.4075,92.9,93.8142
