sequence,camera,frame,hand,view_class,lag,median_err_px
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,-5,94.5918
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,-4,89.5532
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,-3,79.6869
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,-2,60.5012
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,-1,35.6448
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,0,6.6529
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,1,34.4798
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,2,73.7299
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,3,109.5565
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,4,148.1965
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,5,185.5325
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,-5,10.6275
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,-4,9.7715
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,-3,11.0825
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,-2,10.7518
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,-1,8.7836
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,0,7.925
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,1,6.0084
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,2,7.0708
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,3,9.2465
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,4,13.2768
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,5,17.6771
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,-5,62.3379
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,-4,42.3242
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,-3,27.2775
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,-2,16.5801
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,-1,5.6465
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,0,4.5047
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,1,9.5411
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,2,11.4862
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,3,11.4679
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,4,12.2893
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,5,13.6643
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,-5,14.4647
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,-4,11.4319
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,-3,10.5902
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,-2,11.4762
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,-1,8.8576
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,0,5.1219
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,1,5.5502
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,2,11.3825
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,3,17.2767
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,4,18.6052
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,5,17.689
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,-5,3.3672
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,-4,3.5977
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,-3,3.677
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,-2,2.9781
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,-1,3.3476
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,0,3.3473
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,1,3.1424
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,2,3.3577
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,3,2.8009
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,4,3.3152
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,5,3.4667
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,-5,15.6232
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,-4,12.1738
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,-3,9.3798
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,-2,6.7403
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,-1,3.9624
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,0,2.4835
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,1,4.47
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,2,7.898
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,3,11.9225
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,4,18.2952
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,5,26.603
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,-5,15.3459
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,-4,13.8674
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,-3,11.951
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,-2,8.8792
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,-1,5.5206
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,0,5.3642
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,1,7.7787
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,2,9.626
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,3,15.8168
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,4,20.867
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,5,20.4801
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,-5,19.6167
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,-4,16.6704
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,-3,13.1156
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,-2,9.8891
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,-1,5.628
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,0,3.4024
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,1,5.9937
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,2,9.1939
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,3,12.4334
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,4,16.0558
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,5,19.9257
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,-5,5.5479
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,-4,5.2235
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,-3,4.4363
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,-2,3.7913
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,-1,3.3681
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,0,3.7989
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,1,3.4774
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,2,3.1372
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,3,2.9889
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,4,3.2852
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,5,3.1091
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,-5,11.2283
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,-4,10.8999
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,-3,15.4341
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,-2,24.2521
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,-1,19.2901
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,0,6.9237
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,1,7.2964
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,2,11.5951
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,3,32.1751
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,4,45.9408
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,5,45.2332
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,-5,61.9509
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,-4,59.0599
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,-3,46.5573
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,-2,23.1239
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,-1,10.5244
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,0,5.7698
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,1,15.3027
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,2,28.974
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,3,38.0681
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,4,36.1258
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,5,29.5232
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,-5,26.7795
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,-4,19.8465
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,-3,11.6713
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,-2,5.6277
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,-1,3.6337
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,0,3.1274
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,1,2.5744
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,2,3.1492
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,3,3.9569
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,4,6.3807
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,5,6.8363
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,-5,26.6992
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,-4,23.207
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,-3,18.0373
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,-2,12.2966
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,-1,6.1625
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,0,5.6049
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,1,9.0819
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,2,8.4143
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,3,8.2181
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,4,8.1611
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,5,10.6881
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,-5,94.658
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,-4,67.7171
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,-3,44.7885
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,-2,25.9249
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,-1,12.146
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,0,7.2818
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,1,15.0544
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,2,22.831
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,3,30.3007
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,4,38.4801
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,5,49.2477
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,-5,7.4611
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,-4,7.0604
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,-3,8.887
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,-2,10.4717
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,-1,9.8925
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,0,6.9573
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,1,7.4606
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,2,5.7297
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,3,5.5601
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,4,6.8684
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,5,7.9322
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,-5,28.6701
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,-4,24.486
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,-3,17.177
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,-2,11.953
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,-1,6.1044
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,0,2.9102
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,1,9.2366
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,2,14.1074
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,3,23.6029
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,4,37.0746
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,5,47.5153
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,-5,3.859
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,-4,4.2747
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,-3,4.1229
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,-2,3.0265
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,-1,3.0199
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,0,3.8612
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,1,3.2391
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,2,3.5575
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,3,2.9922
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,4,3.4328
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,5,4.6504
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,-5,51.2817
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,-4,42.2376
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,-3,32.1986
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,-2,23.9285
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,-1,16.0162
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,0,9.6866
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,1,11.3975
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,2,15.0251
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,3,22.4792
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,4,26.347
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,5,31.7159
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,-5,6.5824
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,-4,6.8858
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,-3,6.5652
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,-2,6.47
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,-1,6.8629
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,0,6.4346
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,1,6.7182
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,2,6.5281
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,3,6.1878
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,4,6.773
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,5,6.4559
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,-5,16.7494
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,-4,12.6842
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,-3,11.538
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,-2,7.8821
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,-1,6.6182
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,0,4.8551
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,1,8.3061
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,2,11.3162
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,3,13.448
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,4,15.0816
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,5,16.1815
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,-5,25.9845
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,-4,24.8686
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,-3,17.9097
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,-2,10.907
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,-1,5.7507
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,0,6.9687
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,1,8.83
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,2,10.3661
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,3,11.0359
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,4,8.7319
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,5,9.7572
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,-5,50.6341
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,-4,30.6986
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,-3,20.9983
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,-2,16.7784
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,-1,12.2211
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,0,7.2852
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,1,6.3829
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,2,6.5675
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,3,8.2613
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,4,7.2629
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,5,7.3913
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,-5,4.6625
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,-4,5.393
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,-3,5.136
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,-2,5.3495
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,-1,5.1251
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,0,5.4179
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,1,5.0391
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,2,4.8113
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,3,5.0975
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,4,5.214
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,5,5.7136
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,-5,5.9536
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,-4,6.2753
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,-3,6.2814
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,-2,5.9543
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,-1,5.8088
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,0,6.3928
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,1,6.1499
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,2,6.293
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,3,6.2756
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,4,6.6403
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,5,6.3841
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,-5,7.2379
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,-4,7.2581
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,-3,7.2243
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,-2,8.7292
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,-1,8.2845
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,0,8.3792
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,1,8.0884
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,2,8.4382
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,3,8.943
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,4,7.8177
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,5,6.7579
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,-5,23.0269
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,-4,21.7642
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,-3,21.6
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,-2,16.3527
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,-1,8.1789
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,0,4.0321
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,1,12.1889
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,2,20.6841
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,3,28.0388
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,4,33.7595
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,5,38.7753
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,-5,6.3877
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,-4,6.7352
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,-3,6.3527
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,-2,6.9074
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,-1,6.8414
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,0,6.7164
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,1,6.6697
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,2,6.9238
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,3,6.9129
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,4,6.9286
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,5,6.6388
p52-instrument-0034/034,brics-odroid-001_cam1,0,right,good,0,8.6189
p52-instrument-0034/034,brics-odroid-001_cam1,0,right,good,1,8.3775
p52-instrument-0034/034,brics-odroid-001_cam1,0,right,good,2,8.17
p52-instrument-0034/034,brics-odroid-001_cam1,0,right,good,3,8.6086
p52-instrument-0034/034,brics-odroid-001_cam1,0,right,good,4,8.9758
p52-instrument-0034/034,brics-odroid-001_cam1,0,right,good,5,9.3086
p36-tea-0010/010,brics-odroid-023_cam0,0,right,good,0,2.5946
p36-tea-0010/010,brics-odroid-023_cam0,0,right,good,1,2.2923
p36-tea-0010/010,brics-odroid-023_cam0,0,right,good,2,2.6635
p36-tea-0010/010,brics-odroid-023_cam0,0,right,good,3,3.1422
p36-tea-0010/010,brics-odroid-023_cam0,0,right,good,4,3.9476
p36-tea-0010/010,brics-odroid-023_cam0,0,right,good,5,3.9684
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,-5,25.3337
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,-4,20.8542
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,-3,15.6878
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,-2,12.257
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,-1,7.7099
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,0,8.0217
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,1,18.5888
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,2,35.4907
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,3,51.9671
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,4,69.6673
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,5,88.47
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,-5,5.4228
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,-4,10.5412
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,-3,16.4001
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,-2,19.1659
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,-1,12.7258
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,0,9.8192
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,1,14.8272
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,2,16.9517
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,3,16.1983
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,4,15.5809
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,5,9.4457
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,-5,47.4941
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,-4,41.6665
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,-3,30.6699
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,-2,17.9509
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,-1,9.8742
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,0,6.2705
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,1,13.0137
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,2,21.8253
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,3,24.4647
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,4,24.8403
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,5,24.0784
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,-5,5.8837
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,-4,5.6376
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,-3,5.7367
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,-2,5.9504
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,-1,6.5839
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,0,6.5492
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,1,6.1718
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,2,6.4273
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,3,6.1472
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,4,6.117
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,5,5.5787
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,-5,10.2804
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,-4,10.0598
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,-3,9.8733
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,-2,9.5856
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,-1,7.6296
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,0,8.555
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,1,8.6464
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,2,10.139
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,3,10.9925
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,4,15.1452
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,5,21.1516
p41-boxing-0021/021,brics-odroid-029_cam1,72,right,good,-5,5.9369
p41-boxing-0021/021,brics-odroid-029_cam1,72,right,good,-4,5.4377
p41-boxing-0021/021,brics-odroid-029_cam1,72,right,good,-3,5.9825
p41-boxing-0021/021,brics-odroid-029_cam1,72,right,good,-2,6.2732
p41-boxing-0021/021,brics-odroid-029_cam1,72,right,good,-1,6.5699
