quantity,value_px,source
"pipeline virtual focal convention (PIPELINE_BASELINE_FOCAL = FOCAL_LENGTH/IMAGE_SIZE * max(W,H))",5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/results/summary/baseline_vs_gt_focal.csv
"dataset-provided reference focal, median (GT_EFFECTIVE_FOCAL = GT_NATIVE_FX)",922.77,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/results/summary/baseline_vs_gt_focal.csv
