feature,group,n_views,nan_rate,mean,std,range,dropped,drop_criterion_is_target_independent
pred_cam_s__std,F3,175,0.0743,0.367453,0.25730578,1.290827,,1
pred_cam_tx__std,F3,175,0.0743,0.02858,0.0256409,0.09495,,1
pred_cam_ty__std,F3,175,0.0743,0.007871,0.00648733,0.049954,,1
bbox_area_norm__std,F3,175,0.0743,0.012421,0.01612666,0.138704,,1
box_size_norm__std,F3,175,0.0743,0.051915,0.04593524,0.339173,,1
hand_diameter__std,F3,175,0.0743,0.00546,0.00456272,0.019374,,1
depth_over_diameter__std,F3,175,0.0743,0.053639,0.03599162,0.192593,,1
det_score__std,F3,175,0.0743,0.062343,0.03991687,0.161313,,1
hand_pose_aa_norm__std,F3,175,0.0743,0.268832,0.19101255,0.802749,,1
beta_std_mean,F3,175,0.0743,0.020423,0.0521576,0.355963,,1
