subset,n_views,median_rel_focal_err_pct,ci95_lo,ci95_hi,p90_rel_focal_err_pct,signed_median_focal_err_pct,within_5pct,within_10pct,within_20pct,estimate_cv_pct,reference_cv_pct,tracking_spearman
ALL_COMMON,151,24.1938,19.8128,27.4035,39.9964,11.8305,0.0993,0.2119,0.4172,24.668,1.733,0.1233
DIVERSE16,106,26.0263,19.4629,28.2799,40.0657,7.264,0.1132,0.1981,0.4057,26.089,1.709,0.0213
DIVERSE32,106,21.0025,15.826,26.3332,41.5675,11.3374,0.1415,0.2736,0.4906,23.977,1.709,0.0742
LOW16,106,26.738,23.3359,31.37,42.9851,17.3004,0.066,0.1509,0.3585,25.778,1.709,0.0672
LOW32,106,26.4743,21.0186,31.37,43.0296,10.9385,0.0849,0.2453,0.3962,25.537,1.709,-0.0305
N16,133,25.002,21.0362,29.1935,43.4619,10.3399,0.0827,0.2105,0.4135,25.291,1.731,0.052
N32,106,23.3967,19.6124,28.7489,41.486,8.6121,0.1321,0.2736,0.4151,24.281,1.709,0.0261
N64,23,27.6511,20.8152,36.233,42.803,20.8152,0.0435,0.1304,0.3043,23.798,1.803,-0.0514
N8,143,22.9886,19.2222,27.3892,42.9521,8.322,0.0769,0.2308,0.4476,25.363,1.757,0.0377
