view,L_hand_max_px,hand_preferred_q,boundary,n_hand_observations
p41-plant-0004__brics-odroid-014_cam1,0.7552,1.4198,0,50
p41-plant-0004__brics-odroid-015_cam0,2.0212,0.6857,0,14
p41-plant-0004__brics-odroid-015_cam1,1.5104,1.4694,0,102
p41-plant-0004__brics-odroid-016_cam0,0.7851,0.9276,0,115
p41-plant-0004__brics-odroid-017_cam0,1.784,1.5,1,107
p41-plant-0004__brics-odroid-017_cam1,1.0024,0.9024,0,103
p41-plant-0004__brics-odroid-019_cam1,3.085,0.8601,0,53
p41-plant-0004__brics-odroid-020_cam0,1.4288,1.0938,0,112
p41-plant-0004__brics-odroid-020_cam1,0.3837,0.5392,0,52
p41-plant-0004__brics-odroid-021_cam0,1.5205,1.2041,0,113
p41-plant-0004__brics-odroid-021_cam1,1.2984,1.1476,0,109
p41-plant-0004__brics-odroid-022_cam0,0.6531,0.5581,0,25
p41-plant-0004__brics-odroid-022_cam1,1.9546,0.8484,0,103
p41-plant-0004__brics-odroid-023_cam0,1.2682,1.2124,0,123
p41-plant-0004__brics-odroid-024_cam0,1.8595,1.5,1,120
p41-plant-0004__brics-odroid-024_cam1,2.2167,1.4897,1,119
p41-plant-0004__brics-odroid-025_cam0,4.3059,1.4694,0,113
p41-plant-0004__brics-odroid-025_cam1,4.4714,1.4101,0,124
p44-dog-0004__brics-odroid-001_cam1,12.941,0.8086,0,20
p44-dog-0004__brics-odroid-002_cam0,7.6863,1.1796,0,42
p44-dog-0004__brics-odroid-006_cam0,0.5069,0.7294,0,112
p44-dog-0004__brics-odroid-007_cam0,2.1177,1.5,1,96
p44-dog-0004__brics-odroid-007_cam1,5.5813,1.5,1,106
p44-dog-0004__brics-odroid-008_cam0,2.319,0.6764,0,27
p44-dog-0004__brics-odroid-009_cam1,2.5731,1.0142,0,98
p44-dog-0004__brics-odroid-010_cam0,0.8106,0.6857,0,120
p44-dog-0004__brics-odroid-011_cam0,1.0413,1.5,1,104
p44-dog-0004__brics-odroid-012_cam0,0.2533,0.7244,0,89
p44-dog-0004__brics-odroid-012_cam1,0.3248,0.6229,0,118
p44-dog-0004__brics-odroid-014_cam1,0.3054,0.6272,0,80
p44-dog-0004__brics-odroid-015_cam1,0.9104,1.4897,1,110
p44-dog-0004__brics-odroid-016_cam0,1.7167,0.872,0,98
p44-dog-0004__brics-odroid-017_cam0,1.0257,0.7345,0,97
p44-dog-0004__brics-odroid-017_cam1,1.9647,0.934,0,74
p44-dog-0004__brics-odroid-019_cam1,9.3024,1.1089,0,17
p44-dog-0004__brics-odroid-020_cam0,2.4802,1.4694,0,86
p44-dog-0004__brics-odroid-020_cam1,0.7399,0.6764,0,57
p44-dog-0004__brics-odroid-021_cam0,1.8912,1.2634,0,97
p44-dog-0004__brics-odroid-021_cam1,1.3155,0.98,0,92
p44-dog-0004__brics-odroid-022_cam0,2.5036,1.2548,0,45
p44-dog-0004__brics-odroid-022_cam1,0.9297,1.2124,0,112
p44-dog-0004__brics-odroid-023_cam0,0.7979,1.5,1,14
p44-dog-0004__brics-odroid-024_cam0,1.7119,1.3532,0,112
p44-dog-0004__brics-odroid-024_cam1,3.3208,1.4296,0,113
p44-dog-0004__brics-odroid-025_cam0,1.3846,0.934,0,86
p44-dog-0004__brics-odroid-025_cam1,2.6649,1.4198,0,117
p44-dog-0004__brics-odroid-026_cam0,5.8765,1.2462,0,83
p44-dog-0004__brics-odroid-026_cam1,2.191,1.5,1,33
p44-dog-0004__brics-odroid-027_cam0,1.4614,1.132,0,12
p44-dog-0004__brics-odroid-027_cam1,12.1508,0.9276,0,2
p44-dog-0004__brics-odroid-029_cam0,1.7559,1.5,1,29
p44-dog-0004__brics-odroid-029_cam1,5.7638,1.1398,0,32
p44-dog-0004__brics-odroid-030_cam0,2.7751,1.2897,0,19
p44-dog-0004__brics-odroid-030_cam1,3.7817,1.5,1,2
p52-instrument-0034__brics-odroid-002_cam0,148.5322,1.5,1,128
p52-instrument-0034__brics-odroid-007_cam0,2.0089,1.3439,0,125
p52-instrument-0034__brics-odroid-007_cam1,3.1675,1.4694,0,128
p52-instrument-0034__brics-odroid-012_cam1,1.8718,0.866,0,128
p52-instrument-0034__brics-odroid-015_cam1,6.2682,1.0424,0,128
p52-instrument-0034__brics-odroid-016_cam0,1.9092,1.5,1,126
p52-instrument-0034__brics-odroid-021_cam0,9.5778,1.5,1,128
p52-instrument-0034__brics-odroid-023_cam0,4.6439,1.5,1,128
p52-instrument-0034__brics-odroid-024_cam0,2.35,1.5,1,128
p52-instrument-0034__brics-odroid-025_cam1,8.7243,1.5,1,128
p52-instrument-0034__brics-odroid-027_cam0,1.3504,1.5,1,47
p52-instrument-0034__brics-odroid-030_cam0,31.45,0.803,0,119
p52-instrument-0034__brics-odroid-030_cam1,33.1305,0.878,0,26
