protocol,subset,condition,n_views,S0_median_err_pct,S1_median_err_pct,S0_within5,S1_within5,median_paired_gain_pp,gain_ci_lo,gain_ci_hi,relative_reduction_pct,within5_gain_pp,share_views_improved,S1_estimate_cv_pct,reference_cv_pct,S1_tracking_spearman,S0_tracking_spearman,median_lambda
LOCO_PHYSICAL_CAMERA,N8,C2,143,9.0195,9.0526,0.2028,0.2098,0.0364,-0.0069,0.0791,-0.367,0.7,0.5804,8.396,1.757,0.0965,0.1254,10.0
LOSO_SEQUENCE,ALL_COMMON,S1,151,8.8658,8.6687,0.2252,0.2185,0.0313,0.0118,0.0845,2.2231,-0.67,0.596,8.48,1.733,0.1029,0.0948,3.0
LOSO_SEQUENCE,ALL_COMMON,C1,151,8.8658,8.9346,0.2252,0.2318,0.0256,0.0005,0.1022,-0.776,0.66,0.6159,8.623,1.733,0.0862,0.0948,10.0
LOSO_SEQUENCE,ALL_COMMON,C2,151,8.8658,8.8099,0.2252,0.2185,0.0651,-0.0102,0.1292,0.6305,-0.67,0.5894,9.045,1.733,0.0866,0.0948,10.0
LOSO_SEQUENCE,DIVERSE16,S1,106,9.9308,9.9311,0.1604,0.1698,0.0002,0.0,0.0005,-0.003,0.94,0.6038,7.839,1.709,0.0766,0.0732,0.01
LOSO_SEQUENCE,DIVERSE16,C1,106,9.9308,9.7769,0.1604,0.1887,0.0004,0.0001,0.0007,1.5497,2.83,0.6038,8.629,1.709,0.0733,0.0732,10.0
LOSO_SEQUENCE,DIVERSE16,C2,106,9.9308,8.9164,0.1604,0.1981,0.0598,-0.0129,0.1357,10.2147,3.77,0.5943,9.563,1.709,0.0496,0.0732,10.0
LOSO_SEQUENCE,DIVERSE32,S1,106,9.7402,9.7453,0.1887,0.1887,0.0356,0.0063,0.0655,-0.0524,0.0,0.6321,7.896,1.709,0.0527,0.0619,10.0
LOSO_SEQUENCE,DIVERSE32,C1,106,9.7402,9.7407,0.1887,0.1887,0.0001,-0.0001,0.0002,-0.0051,0.0,0.5566,7.969,1.709,0.0758,0.0619,0.01
LOSO_SEQUENCE,DIVERSE32,C2,106,9.7402,8.6395,0.1887,0.1792,0.078,-0.0279,0.2276,11.3006,-0.95,0.5849,9.644,1.709,0.0534,0.0619,10.0
LOSO_SEQUENCE,LOW16,S1,106,10.0828,10.0595,0.2075,0.1887,0.0649,0.0003,0.1531,0.2311,-1.88,0.6038,8.268,1.709,0.0585,0.041,10.0
LOSO_SEQUENCE,LOW16,C1,106,10.0828,10.2316,0.2075,0.217,0.0001,-0.0166,0.0008,-1.4758,0.95,0.5377,8.443,1.709,0.0463,0.041,10.0
LOSO_SEQUENCE,LOW16,C2,106,10.0828,9.911,0.2075,0.1981,0.0002,-0.0002,0.013,1.7039,-0.94,0.566,9.566,1.709,0.0237,0.041,10.0
LOSO_SEQUENCE,LOW32,S1,106,9.8006,9.7157,0.1981,0.1981,0.0368,-0.0052,0.0846,0.8663,0.0,0.5755,8.072,1.709,0.0569,0.0396,10.0
LOSO_SEQUENCE,LOW32,C1,106,9.8006,9.8563,0.1981,0.2075,0.0007,-0.0413,0.0266,-0.5683,0.94,0.5094,8.267,1.709,0.0573,0.0396,10.0
LOSO_SEQUENCE,LOW32,C2,106,9.8006,9.1077,0.1981,0.1981,0.0002,-0.0003,0.0497,7.07,0.0,0.5755,9.531,1.709,0.013,0.0396,10.0
LOSO_SEQUENCE,N16,S1,133,8.6111,8.8372,0.218,0.2406,0.0938,0.0154,0.1489,-2.6257,2.26,0.6316,8.012,1.731,0.0652,0.0724,10.0
LOSO_SEQUENCE,N16,C1,133,8.6111,8.322,0.218,0.218,0.1612,0.0644,0.2651,3.3573,0.0,0.609,7.88,1.731,0.0716,0.0724,10.0
LOSO_SEQUENCE,N16,C2,133,8.6111,8.6768,0.218,0.2406,0.0906,0.0076,0.189,-0.763,2.26,0.6015,9.036,1.731,0.0571,0.0724,10.0
LOSO_SEQUENCE,N32,S1,106,9.775,9.5514,0.1698,0.2075,0.0135,0.0004,0.0403,2.2875,3.77,0.6981,7.924,1.709,0.0747,0.0697,10.0
LOSO_SEQUENCE,N32,C1,106,9.775,9.4566,0.1698,0.1698,0.0009,-0.0,0.0272,3.2573,0.0,0.5755,8.069,1.709,0.0998,0.0697,10.0
LOSO_SEQUENCE,N32,C2,106,9.775,8.8837,0.1698,0.1698,0.0002,-0.0002,0.0732,9.1182,0.0,0.5755,9.452,1.709,0.0381,0.0697,10.0
LOSO_SEQUENCE,N64,S1,23,10.2432,10.2316,0.1739,0.1739,0.0214,-0.0013,0.0544,0.1132,0.0,0.6957,7.556,1.803,0.1413,0.1472,3.0
LOSO_SEQUENCE,N64,C1,23,10.2432,10.2431,0.1739,0.1739,0.0001,-0.0003,0.001,0.001,0.0,0.6087,8.557,1.803,0.1858,0.1472,10.0
LOSO_SEQUENCE,N64,C2,23,10.2432,10.2515,0.1739,0.1739,-0.0001,-0.0022,0.0006,-0.081,0.0,0.3913,7.513,1.803,0.1413,0.1472,0.01
LOSO_SEQUENCE,N8,S1,143,9.0195,8.7224,0.2028,0.2238,0.1337,0.0672,0.2547,3.294,2.1,0.6503,7.642,1.757,0.1469,0.1254,10.0
LOSO_SEQUENCE,N8,C1,143,9.0195,8.7291,0.2028,0.1958,0.0731,-0.0049,0.2085,3.2197,-0.7,0.5734,8.768,1.757,0.1087,0.1254,10.0
LOSO_SEQUENCE,N8,C2,143,9.0195,8.9032,0.2028,0.2238,0.0555,-0.0069,0.0988,1.2894,2.1,0.5804,9.638,1.757,0.0809,0.1254,10.0
