estimator,N,n_views,median_rel_err_pct,mean_rel_err_pct,p90_rel_err_pct,p95_rel_err_pct,signed_median_pct,within_5_pct,within_10_pct,within_20_pct,paired_delta_vs_prev_N_pp,delta_ci_lo,delta_ci_hi,delta_excludes_zero,pct_views_improved
anycalib_gen,8,175,9.889594236305198,10.30428942452919,18.681385287471752,19.755167044854254,-9.25106535547641,20.0,51.42857142857142,94.85714285714286,,,,,
anycalib_gen,16,175,9.966151731813436,10.373567690981675,18.513346371304394,20.03962927671981,-9.269646853134615,19.428571428571427,50.857142857142854,94.85714285714286,0.0,-0.050849759364149705,0.011945171927436604,0,43.42857142857143
anycalib_gen,32,175,9.953651561168737,10.344198088582662,18.5393470992158,19.74601568329326,-9.163008247423797,20.57142857142857,50.28571428571429,95.42857142857143,0.0,0.0,0.019597577758418083,0,47.42857142857143
anycalib_gen,64,175,9.966151731813436,10.3169480750615,18.67220756675594,19.91161345217492,-9.28003359265481,20.57142857142857,50.28571428571429,94.85714285714286,0.0,-0.018042130999187833,0.01734408519158137,0,48.0
geocalib_distorted,8,175,10.860051396453267,23.502562434060184,46.99495953792579,66.40147265374554,6.466121363185133,22.285714285714285,43.42857142857143,71.42857142857143,,,,,
geocalib_distorted,16,175,10.91962054725973,23.76931298826963,35.17397313173669,66.36632580543642,6.433720594630772,21.714285714285715,45.14285714285714,74.28571428571429,0.0,-0.016147328620807144,0.10250132743429896,0,47.42857142857143
geocalib_distorted,32,175,10.785702439557136,23.60733129074384,37.428655927463375,74.26704871255616,6.33470442511416,22.285714285714285,46.85714285714286,73.14285714285714,0.0,-0.04835738381580157,0.021290273614623878,0,43.42857142857143
geocalib_distorted,64,175,11.283305407604685,21.78842495792199,38.74277416456903,72.15363880861572,7.274331154843275,22.285714285714285,44.57142857142857,72.57142857142857,0.003791629688471243,-0.03838742163855979,0.09412722575777682,0,50.28571428571429
E2_frozen,8,175,6.460291347893832,10.588559762206385,19.27204392695761,32.96753857041245,-2.4464951249798976,40.0,68.0,90.28571428571428,,,,,
E2_frozen,16,175,6.610407607651479,10.475125469443068,18.762811702527415,31.477135434795994,-2.4464951249798976,41.714285714285715,69.71428571428572,90.28571428571428,0.0,0.0,0.0780469441125975,0,49.714285714285715
E2_frozen,32,175,6.703476105167897,10.634408552234218,20.59056508089872,32.008118922173175,-2.389132227760227,40.0,69.71428571428572,89.14285714285714,0.0,-0.019706635959328533,0.030549394720909118,0,44.0
E2_frozen,64,175,6.739518400478775,10.044920982585204,19.647990652469662,31.635853519409533,-2.4972863054548875,40.0,70.28571428571428,89.71428571428571,0.0,-0.0395845435104798,0.03678290993758715,0,48.57142857142857
