sequence,camera,n_frames,n_frames_with_hand,availability_rate,mean_hands_per_frame,has_latent,hand_feature_eligible,reason_excluded
p41-plant-0004,brics-odroid-024_cam0,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-024_cam1,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-025_cam0,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-025_cam1,16,16,1.0,2.0,1,1,
p41-plant-0004,brics-odroid-026_cam0,16,0,0.0,0.0,0,0,only 0/16 frames with a usable hand
p41-plant-0004,brics-odroid-026_cam1,16,0,0.0,0.0,0,0,only 0/16 frames with a usable hand
p41-plant-0004,brics-odroid-027_cam0,16,0,0.0,0.0,0,0,only 0/16 frames with a usable hand
p41-plant-0004,brics-odroid-027_cam1,16,0,0.0,0.0,0,0,only 0/16 frames with a usable hand
p41-plant-0004,brics-odroid-028_cam0,16,4,0.25,0.25,1,1,
p41-plant-0004,brics-odroid-029_cam0,16,0,0.0,0.0,0,0,only 0/16 frames with a usable hand
p41-plant-0004,brics-odroid-029_cam1,16,0,0.0,0.0,0,0,only 0/16 frames with a usable hand
p41-plant-0004,brics-odroid-030_cam0,16,0,0.0,0.0,0,0,only 0/16 frames with a usable hand
p41-plant-0004,brics-odroid-030_cam1,16,9,0.5625,0.5625,1,1,
p44-dog-0004,brics-odroid-001_cam0,16,16,1.0,2.0,1,1,
p44-dog-0004,brics-odroid-001_cam1,16,16,1.0,1.125,1,1,
p44-dog-0004,brics-odroid-002_cam0,16,16,1.0,2.0,1,1,
p44-dog-0004,brics-odroid-006_cam0,16,16,1.0,2.0,1,1,
p44-dog-0004,brics-odroid-007_cam0,16,16,1.0,1.4375,1,1,
p44-dog-0004,brics-odroid-007_cam1,16,16,1.0,2.0,1,1,
p44-dog-0004,brics-odroid-008_cam0,16,0,0.0,0.0,0,0,only 0/16 frames with a usable hand
p44-dog-0004,brics-odroid-009_cam1,16,16,1.0,1.0,1,1,
