sequence,take,camera,frame,left_tri_status,left_n_available_cameras,left_n_inlier_cameras,left_n_ok_joints,left_tri_median_reproj_px,left_tri_p90_reproj_px,left_max_ray_angle_deg,left_annotation_present,left_zero_pattern,left_chosen,right_tri_status,right_n_available_cameras,right_n_inlier_cameras,right_n_ok_joints,right_tri_median_reproj_px,right_tri_p90_reproj_px,right_max_ray_angle_deg,right_annotation_present,right_zero_pattern,right_chosen,E_LL_px,E_LR_px,E_RR_px,E_RL_px,n_joints_LL,n_joints_RR,C_LL_px,C_LR_px,C_RR_px,C_RL_px,left_vs_provided_left_mpjpe_mm,left_vs_provided_left_root_aligned_mpjpe_mm,left_vs_provided_left_wrist_mm,left_vs_provided_left_centroid_mm,left_vs_provided_left_n_joints,left_vs_provided_right_mpjpe_mm,left_vs_provided_right_centroid_mm,right_vs_provided_right_mpjpe_mm,right_vs_provided_right_root_aligned_mpjpe_mm,right_vs_provided_right_wrist_mm,right_vs_provided_right_centroid_mm,right_vs_provided_right_n_joints,right_vs_provided_left_mpjpe_mm,right_vs_provided_left_centroid_mm,status,census_status_001_2,group,hand_of_interest,left_case,left_case_reason,left_qc_status,left_qc_reason,left_identity_margin_px,right_case,right_case_reason,right_qc_status,right_qc_reason,right_identity_margin_px
p41-plant-0004,004,brics-odroid-021_cam1,0,ok,25,9,21,3.2364,4.5567,117.3575,1,0,1,ok,26,8,21,3.181,4.8453,123.512,1,0,1,11.6133,81.6545,7.9353,75.355,21,21,9.4249,75.4432,5.3131,75.2989,6.8047,13.1047,11.2355,3.0513,21.0,93.3448,91.0302,3.7675,10.5711,11.7407,1.7006,21.0,92.4162,89.9642,ok,good,good_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (11.6 px),PASS_STRICT,multi-view consistent in 2D and 3D,66.02,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (7.9 px),PASS_STRICT,multi-view consistent in 2D and 3D,69.99
p41-boxing-0021,021,brics-odroid-030_cam1,0,ok,30,14,21,3.0158,4.8517,130.4629,1,0,1,ok,29,14,21,3.2693,4.7682,137.2851,1,0,1,12.3124,422.7133,13.2612,424.6032,21,21,7.8883,430.3323,4.9168,433.8488,4.0054,6.9098,6.6594,1.8216,21.0,181.849,181.4231,3.5919,5.67,5.0671,1.1139,21.0,181.6785,181.2769,ok,good,good_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (12.3 px),PASS_STRICT,multi-view consistent in 2D and 3D,422.44,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (13.3 px),PASS_STRICT,multi-view consistent in 2D and 3D,428.93
p41-plant-0004,004,brics-odroid-019_cam1,0,ok,25,10,21,2.819,4.7501,119.3755,1,0,1,ok,26,9,21,3.1456,4.7113,126.4666,1,0,1,16.6739,44.7939,35.4168,35.7683,21,21,10.0357,42.4268,38.0418,14.0904,6.4925,9.2477,4.8214,2.6158,21.0,93.148,90.8172,4.2306,9.2722,8.4899,0.8113,21.0,92.0859,89.5736,ok,good,good_control,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 17 px, other 45 px)",EXCLUDE,2D annotation matches no reconstruction,32.39,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 35 px, other 36 px)",EXCLUDE,2D annotation matches no reconstruction,-23.95
p41-boxing-0021,021,brics-odroid-029_cam0,40,ok,33,15,21,3.2263,4.8725,144.5603,1,1,1,ok,32,14,21,3.2778,4.8967,145.0833,1,0,1,,,12.447,200.1769,0,21,,,5.9017,195.2543,3.2528,7.4508,7.9159,0.9889,21.0,159.365,158.8159,3.2685,8.009,7.4562,0.7437,21.0,160.4257,159.9303,ok,good,good_control,right,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (12.4 px),PASS_STRICT,multi-view consistent in 2D and 3D,189.35
p52-instrument-0034,034,brics-odroid-030_cam0,100,ok,34,14,21,3.1945,5.0178,123.8086,1,0,1,ok,33,17,21,2.9959,4.8919,145.9188,1,1,1,8.8615,547.2871,,,21,0,5.4882,543.7289,,,3.0886,13.2823,13.4901,0.5116,21.0,325.8581,323.5412,2.5553,13.1133,13.8529,1.3912,21.0,325.6025,323.4082,ok,good,good_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (8.9 px),PASS_STRICT,multi-view consistent in 2D and 3D,538.24,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",
p44-dog-0004,004,brics-odroid-012_cam1,0,ok,28,8,18,2.5476,3.8764,107.5471,1,0,1,ok,29,12,21,2.8501,4.9913,111.6737,1,0,1,17.6866,170.3816,3.3213,158.0733,18,21,14.6557,162.2872,2.7281,158.9965,4.987,7.5821,4.8574,2.0297,18.0,181.2755,174.6545,2.5086,7.712,8.1695,1.0929,21.0,178.9994,170.942,ok,good,good_control,right,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 18 px, other 170 px)",EXCLUDE,2D annotation matches no reconstruction,147.63,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (3.3 px),PASS_STRICT,multi-view consistent in 2D and 3D,156.27
p36-tea-0010,010,brics-odroid-021_cam0,80,ok,33,11,21,3.0833,4.5692,136.5479,1,0,1,ok,31,12,21,3.3483,4.9261,154.5674,1,0,1,9.0146,295.1018,12.4422,298.9603,21,21,4.7332,295.9284,11.2648,296.638,5.7484,15.7006,17.8338,3.3722,21.0,191.7343,188.5372,2.8908,6.0932,5.8276,1.8735,21.0,191.6092,188.3641,ok,medium,medium_control,right,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (9.0 px),PASS_STRICT,multi-view consistent in 2D and 3D,291.2,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (12.4 px),PASS_STRICT,multi-view consistent in 2D and 3D,285.37
p41-boxing-0021,021,brics-odroid-009_cam1,80,ok,23,6,20,3.2238,4.6803,142.6276,1,0,1,ok,28,13,21,3.2052,4.896,149.5069,1,0,1,12.6448,328.8165,3.6166,325.863,20,21,7.9598,326.8337,3.7527,326.4402,6.6617,9.4701,8.9905,1.2848,20.0,278.4021,273.1414,3.9313,8.9219,8.2549,0.8724,21.0,278.9816,274.056,ok,medium,medium_control,left,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 6 inlier cameras,REVIEW,insufficient multi-view geometry to decide,318.87,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (3.6 px),PASS_STRICT,multi-view consistent in 2D and 3D,322.69
p41-boxing-0021,021,brics-odroid-002_cam0,0,ok,30,14,21,2.9557,4.8596,132.0426,1,0,1,ok,30,14,21,3.232,4.7564,134.6202,1,1,1,12.813,245.477,,,21,0,11.8281,249.4292,,,4.0425,8.4713,9.259,1.9334,21.0,181.8552,181.4128,3.5665,5.8364,5.0671,0.5815,21.0,181.5431,181.1332,ok,medium,medium_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (12.8 px),PASS_STRICT,multi-view consistent in 2D and 3D,237.6,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",
p44-dog-0004,004,brics-odroid-006_cam0,140,ok,29,11,21,3.1953,4.5851,98.7643,1,0,1,ok,28,12,21,3.1132,4.658,113.2291,1,0,1,28.0352,137.1592,6.4071,132.478,21,21,24.0149,128.231,2.6584,121.1095,4.5509,6.2349,5.3285,3.2022,21.0,141.0542,140.6027,3.4584,8.5162,6.9936,1.3684,21.0,140.2462,139.6483,ok,medium,medium_control,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 28 px, other 137 px)",EXCLUDE,2D annotation matches no reconstruction,104.22,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (6.4 px),PASS_STRICT,multi-view consistent in 2D and 3D,118.45
p36-tea-0010,010,brics-odroid-009_cam1,40,ok,36,15,21,3.1478,4.8527,152.7994,1,0,1,ok,35,17,21,3.1119,4.9961,165.1933,1,0,1,16.2324,105.4016,7.7836,110.5878,21,21,14.6176,105.7625,5.4278,113.2897,3.9383,7.8074,7.9833,2.1395,21.0,178.5728,177.3335,2.1398,5.3349,5.3096,0.5624,21.0,177.9511,176.6989,ok,medium,medium_control,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 16 px, other 105 px)",EXCLUDE,2D annotation matches no reconstruction,91.14,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (7.8 px),PASS_STRICT,multi-view consistent in 2D and 3D,107.86
