sequence,take,camera,frame,left_tri_status,left_n_available_cameras,left_n_inlier_cameras,left_n_ok_joints,left_tri_median_reproj_px,left_tri_p90_reproj_px,left_max_ray_angle_deg,left_annotation_present,left_zero_pattern,left_chosen,right_tri_status,right_n_available_cameras,right_n_inlier_cameras,right_n_ok_joints,right_tri_median_reproj_px,right_tri_p90_reproj_px,right_max_ray_angle_deg,right_annotation_present,right_zero_pattern,right_chosen,E_LL_px,E_LR_px,E_RR_px,E_RL_px,n_joints_LL,n_joints_RR,C_LL_px,C_LR_px,C_RR_px,C_RL_px,left_vs_provided_left_mpjpe_mm,left_vs_provided_left_root_aligned_mpjpe_mm,left_vs_provided_left_wrist_mm,left_vs_provided_left_centroid_mm,left_vs_provided_left_n_joints,left_vs_provided_right_mpjpe_mm,left_vs_provided_right_centroid_mm,right_vs_provided_right_mpjpe_mm,right_vs_provided_right_root_aligned_mpjpe_mm,right_vs_provided_right_wrist_mm,right_vs_provided_right_centroid_mm,right_vs_provided_right_n_joints,right_vs_provided_left_mpjpe_mm,right_vs_provided_left_centroid_mm,status,census_status_001_2,group,hand_of_interest,left_case,left_case_reason,left_qc_status,left_qc_reason,left_identity_margin_px,right_case,right_case_reason,right_qc_status,right_qc_reason,right_identity_margin_px
p52-instrument-0034,034,brics-odroid-022_cam1,120,ok,35,15,21,3.2114,5.0556,140.4707,1,0,1,ok,34,16,21,2.8397,4.9006,150.6352,1,0,1,4.1636,412.1835,21.0772,399.6862,21,21,3.4247,407.7094,11.2818,405.3794,2.715,4.7428,4.4985,1.0879,21.0,329.4508,327.2497,1.8336,3.2115,2.595,0.5892,21.0,328.8024,326.657,ok,medium,medium_control,right,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (4.2 px),PASS_STRICT,multi-view consistent in 2D and 3D,404.28,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 21 px, other 400 px)",EXCLUDE,2D annotation matches no reconstruction,394.1
p36-tea-0010,010,brics-odroid-020_cam1,336,ok,34,12,21,2.8114,4.3407,126.5597,1,0,1,ok,34,15,21,3.2076,4.6612,154.8366,1,0,1,16.7815,221.4106,228.5675,36.5441,21,21,10.1939,221.4517,225.5901,13.9026,5.2289,14.6459,16.8537,3.5018,21.0,196.8032,194.3763,2.5341,5.4166,4.2386,1.4536,21.0,199.2014,196.5955,ok,medium,medium_control,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 17 px, other 221 px)",EXCLUDE,2D annotation matches no reconstruction,211.26,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 14 px from the left reconstruction but 226 px from its own; reconstruction agrees with provided right 3D (2.5 mm),EXCLUDE,per-camera 2D hand identity swap,-211.69
p41-plant-0004,004,brics-odroid-017_cam0,0,ok,25,9,21,2.9528,4.6134,119.5311,1,0,1,ok,26,9,20,3.2035,4.8831,120.0724,1,0,1,14.7935,75.4929,9.4072,67.2357,21,20,5.0502,64.9883,8.5713,70.8486,6.7097,9.6929,4.8214,3.1157,21.0,93.3959,91.0969,4.2477,4.1985,,2.2468,20.0,89.9145,87.5176,ok,medium,medium_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (14.8 px),PASS_STRICT,multi-view consistent in 2D and 3D,59.94,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (9.4 px),PASS_STRICT,multi-view consistent in 2D and 3D,62.28
p41-boxing-0021,021,brics-odroid-007_cam1,20,ok,29,6,20,3.2399,4.6263,134.1997,1,0,1,ok,29,11,21,2.9051,4.6521,135.2438,1,0,1,15.71,185.4299,8.5352,204.6764,20,21,14.5054,188.5318,6.3074,196.8066,7.3086,13.6283,12.1002,1.0346,20.0,150.2839,144.2189,3.4311,6.7766,6.5278,0.8377,21.0,148.0888,142.7984,ok,medium,medium_control,left,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 6 inlier cameras,REVIEW,insufficient multi-view geometry to decide,174.03,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (8.5 px),PASS_STRICT,multi-view consistent in 2D and 3D,190.5
p52-instrument-0034,034,brics-odroid-025_cam0,120,ok,35,15,21,3.1701,4.722,141.2588,1,0,1,ok,34,16,21,2.8348,5.0114,145.5632,1,0,1,6.195,596.2878,11.0232,597.3709,21,21,2.5231,590.3451,12.1002,587.9426,3.1916,15.3067,14.8298,0.4648,21.0,329.46,327.2102,2.2042,13.6496,13.6899,0.1063,21.0,329.2588,327.0269,ok,medium,medium_control,right,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (6.2 px),PASS_STRICT,multi-view consistent in 2D and 3D,587.82,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (11.0 px),PASS_STRICT,multi-view consistent in 2D and 3D,575.84
p36-tea-0010,010,brics-odroid-006_cam0,256,ok,26,7,21,3.0982,4.8051,121.3287,1,0,1,ok,27,8,21,3.3419,4.614,133.6434,1,0,1,110.3587,72.5505,24.7596,105.4064,21,21,79.0296,32.6699,35.417,76.3273,5.9243,24.0973,26.9547,3.5215,21.0,194.7828,191.964,4.2537,5.4802,4.6162,1.4139,21.0,197.8481,195.0533,ok,likely_hand_identity_error,suspected_swap,left,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 7 inlier cameras,REVIEW,insufficient multi-view geometry to decide,-46.36,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 25 px, other 105 px)",EXCLUDE,2D annotation matches no reconstruction,40.91
p36-tea-0010,010,brics-odroid-012_cam0,256,ok,27,7,20,3.0566,4.6764,121.1345,1,1,1,ok,27,9,21,3.4947,4.7242,134.0665,1,0,1,,,214.7935,27.6202,0,21,,,206.8488,5.1693,5.2972,25.0132,26.9547,2.2735,20.0,195.0134,192.0909,4.5372,9.1588,9.0014,1.4723,21.0,197.8205,195.1004,ok,likely_hand_identity_error,suspected_swap,right,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 215 px, other 28 px)",EXCLUDE,2D annotation matches no reconstruction,-201.68
p52-instrument-0034,034,brics-odroid-028_cam0,40,ok,35,15,21,3.0485,4.956,132.6678,1,0,1,ok,34,17,21,3.3035,5.0175,154.4318,1,0,1,391.7651,91.0356,386.7842,39.176,21,21,399.8545,24.6885,381.9184,6.1044,2.5487,6.9071,6.1998,0.5075,21.0,322.3538,320.0775,2.0181,3.0368,2.6619,0.7525,21.0,322.2647,319.9764,ok,likely_hand_identity_error,suspected_swap,left,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out left annotation is 25 px from the right reconstruction but 400 px from its own; reconstruction agrees with provided left 3D (2.5 mm),EXCLUDE,per-camera 2D hand identity swap,-375.17,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 6 px from the left reconstruction but 382 px from its own; reconstruction agrees with provided right 3D (2.0 mm),EXCLUDE,per-camera 2D hand identity swap,-375.81
p44-dog-0004,004,brics-odroid-014_cam1,0,ok,28,8,18,2.643,4.1788,115.6607,1,0,1,ok,29,12,21,2.7469,4.6572,109.7066,1,0,1,4.3548,198.4922,196.2266,11.3449,18,21,3.9981,193.2338,191.6653,5.5897,4.7874,7.153,4.6716,0.6767,18.0,182.1767,175.6936,2.619,6.2201,5.2227,0.6389,21.0,178.3724,170.1396,ok,likely_hand_identity_error,suspected_swap,right,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (4.4 px),PASS_STRICT,multi-view consistent in 2D and 3D,189.24,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 6 px from the left reconstruction but 192 px from its own; reconstruction agrees with provided right 3D (2.6 mm),EXCLUDE,per-camera 2D hand identity swap,-186.08
p36-tea-0010,010,brics-odroid-026_cam0,0,ok,29,16,21,2.9498,4.7236,147.2538,1,0,1,ok,30,15,21,2.757,4.6415,120.9363,1,1,1,422.4759,25.5142,,,21,0,425.8378,15.4138,,,2.5878,5.0827,4.853,0.5339,21.0,386.8692,386.5964,2.8639,16.4683,18.3878,2.0338,21.0,386.1436,385.861,ok,likely_hand_identity_error,suspected_swap,left,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out left annotation is 15 px from the right reconstruction but 426 px from its own; reconstruction agrees with provided left 3D (2.6 mm),EXCLUDE,per-camera 2D hand identity swap,-410.42,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",
p36-tea-0010,010,brics-odroid-029_cam0,20,ok,32,15,21,3.0515,5.2289,150.8735,1,0,1,ok,32,13,21,2.9277,4.9256,132.5889,1,0,1,300.6732,22.7533,319.685,50.8059,21,21,288.9593,16.5231,316.3328,58.0727,2.7179,5.725,5.5399,1.4247,21.0,331.463,330.1229,3.8371,18.2923,20.3554,2.3842,21.0,331.6844,330.4647,ok,likely_hand_identity_error,suspected_swap,left,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out left annotation is 17 px from the right reconstruction but 289 px from its own; reconstruction agrees with provided left 3D (2.7 mm),EXCLUDE,per-camera 2D hand identity swap,-272.44,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 58 px from the left reconstruction but 316 px from its own; reconstruction agrees with provided right 3D (3.8 mm),EXCLUDE,per-camera 2D hand identity swap,-258.26
p52-instrument-0034,034,brics-odroid-029_cam0,0,ok,35,15,21,3.1413,4.8112,126.4732,1,0,1,ok,34,17,21,2.8899,4.4931,150.18,1,0,1,414.9469,75.6156,420.491,32.3317,21,21,424.8315,23.5849,415.2496,26.9769,2.2928,4.2015,4.6665,1.0614,21.0,309.695,307.3226,2.4037,7.1642,5.8521,1.3654,21.0,309.6283,307.2669,ok,likely_hand_identity_error,suspected_swap,left,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out left annotation is 24 px from the right reconstruction but 425 px from its own; reconstruction agrees with provided left 3D (2.3 mm),EXCLUDE,per-camera 2D hand identity swap,-401.25,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 27 px from the left reconstruction but 415 px from its own; reconstruction agrees with provided right 3D (2.4 mm),EXCLUDE,per-camera 2D hand identity swap,-388.27
p44-dog-0004,004,brics-odroid-029_cam1,0,ok,28,7,20,2.8459,4.1384,93.019,1,0,1,ok,29,12,21,2.6651,4.5922,111.5606,1,0,1,12.7354,191.6378,180.8396,19.446,20,21,9.8453,154.7958,151.9387,14.7639,5.419,9.9525,8.4996,1.0201,20.0,180.8031,173.0197,2.9804,14.4456,14.7495,0.9684,21.0,177.8891,169.4306,ok,likely_hand_identity_error,suspected_swap,right,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 7 inlier cameras,REVIEW,insufficient multi-view geometry to decide,144.95,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 181 px, other 19 px)",EXCLUDE,2D annotation matches no reconstruction,-137.17
p41-boxing-0021,021,brics-odroid-016_cam0,140,ok,29,11,21,3.1902,4.6498,124.4316,1,1,1,ok,28,13,21,3.6608,5.0273,144.5748,1,0,1,,,60.1666,56.0687,0,21,,,59.2005,56.3641,4.0609,7.6959,7.0747,0.4328,21.0,128.0933,123.3896,3.589,13.2026,12.5382,0.7701,21.0,127.9656,123.0768,ok,likely_hand_identity_error,suspected_swap,right,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 60 px, other 56 px)",EXCLUDE,2D annotation matches no reconstruction,-2.84
p41-boxing-0021,021,brics-odroid-029_cam0,0,ok,31,14,21,3.0753,4.827,136.4925,1,1,1,ok,29,14,21,3.1293,4.7407,136.3676,1,0,1,,,214.3161,22.322,0,21,,,218.3882,3.0444,4.2142,8.5036,9.259,1.9465,21.0,181.7327,181.2881,3.0105,5.4826,5.0671,0.5814,21.0,181.5867,181.2373,ok,likely_hand_identity_error,suspected_swap,right,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 3 px from the left reconstruction but 218 px from its own; reconstruction agrees with provided right 3D (3.0 mm),EXCLUDE,per-camera 2D hand identity swap,-215.34
p41-boxing-0021,021,brics-odroid-028_cam0,120,ok,29,12,21,3.2269,4.9611,118.7209,1,0,1,ok,29,5,20,2.7284,4.1054,135.8766,1,0,1,330.8147,68.138,17.3424,323.6983,21,20,327.1601,19.6247,18.4348,327.8388,4.5246,22.4541,23.052,0.979,21.0,231.6579,225.2827,6.6096,12.5868,13.505,3.567,20.0,230.0214,223.6136,ok,likely_hand_identity_error,suspected_swap,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 331 px, other 68 px)",EXCLUDE,2D annotation matches no reconstruction,-307.54,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 5 inlier cameras,REVIEW,insufficient multi-view geometry to decide,309.4
p41-boxing-0021,021,brics-odroid-030_cam1,160,ok,32,12,21,3.3658,4.9744,90.266,1,0,1,ok,29,5,20,2.9236,4.2943,145.6509,1,0,1,533.3972,66.6932,13.199,546.1139,21,20,532.3073,5.2449,7.4152,531.9667,3.8825,4.6088,3.9161,1.7766,21.0,324.0085,319.0081,6.9338,7.615,3.9033,0.9854,20.0,323.2087,318.1283,ok,likely_hand_identity_error,suspected_swap,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 533 px, other 67 px)",EXCLUDE,2D annotation matches no reconstruction,-527.06,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 5 inlier cameras,REVIEW,insufficient multi-view geometry to decide,524.55
p41-boxing-0021,021,brics-odroid-002_cam0,160,ok,32,12,21,3.4496,4.8124,96.5186,1,0,1,ok,29,6,20,3.1533,4.7763,141.778,1,0,1,1193.4561,94.0521,18.3216,1197.2094,21,20,1759.2101,34.0539,18.6106,1744.1952,3.902,4.0886,4.6212,2.3614,21.0,324.6104,319.6209,6.2466,7.8398,6.3248,1.9152,20.0,320.7975,315.7694,ok,likely_hand_identity_error,suspected_swap,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 1193 px, other 94 px)",EXCLUDE,2D annotation matches no reconstruction,-1725.16,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 6 inlier cameras,REVIEW,insufficient multi-view geometry to decide,1725.58
p52-instrument-0034,034,brics-odroid-026_cam1,0,ok,35,15,21,3.2946,4.9852,137.247,1,0,1,ok,34,17,21,2.859,4.4646,144.4596,1,0,1,360.762,21.8405,334.8207,40.9719,21,21,343.609,11.4134,336.9752,4.8213,3.1634,18.5473,19.423,1.1677,21.0,308.7718,306.3473,2.4233,5.7761,4.1249,1.5398,21.0,309.6489,307.2916,ok,likely_hand_identity_error,suspected_swap,left,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out left annotation is 11 px from the right reconstruction but 344 px from its own; reconstruction agrees with provided left 3D (3.2 mm),EXCLUDE,per-camera 2D hand identity swap,-332.2,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 5 px from the left reconstruction but 337 px from its own; reconstruction agrees with provided right 3D (2.4 mm),EXCLUDE,per-camera 2D hand identity swap,-332.15
p41-boxing-0021,021,brics-odroid-014_cam1,20,ok,29,6,21,3.1439,4.5069,135.1357,1,0,1,ok,29,11,21,3.2849,4.7576,135.2438,1,0,1,25.1421,123.7098,112.8603,23.8182,21,21,24.9224,122.0617,116.5432,21.282,8.5084,14.0343,12.1002,0.8261,21.0,149.5333,142.7209,3.4504,6.489,6.5278,1.0505,21.0,148.3848,142.9961,ok,likely_hand_identity_error,suspected_swap,right,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 6 inlier cameras,REVIEW,insufficient multi-view geometry to decide,97.14,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 113 px, other 24 px)",EXCLUDE,2D annotation matches no reconstruction,-95.26
p36-tea-0010,010,brics-odroid-027_cam1,20,ok,32,15,21,3.0747,5.1248,154.9168,1,0,1,ok,32,13,21,3.1247,5.0294,139.8313,1,0,1,377.9528,18.4955,388.7453,17.0274,21,21,382.017,16.6674,378.9546,7.3166,3.0539,9.6023,8.7962,1.2413,21.0,331.2512,329.8939,3.888,17.7115,20.2885,2.8272,21.0,331.7813,330.5784,ok,likely_hand_identity_error,suspected_swap,left,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out left annotation is 17 px from the right reconstruction but 382 px from its own; reconstruction agrees with provided left 3D (3.1 mm),EXCLUDE,per-camera 2D hand identity swap,-365.35,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 7 px from the left reconstruction but 379 px from its own; reconstruction agrees with provided right 3D (3.9 mm),EXCLUDE,per-camera 2D hand identity swap,-371.64
p36-tea-0010,010,brics-odroid-030_cam1,0,ok,30,16,21,2.8321,4.8234,146.6436,1,1,1,ok,29,16,21,2.757,4.859,121.6947,1,0,1,,,849.3755,89.6285,0,21,,,843.6076,14.4678,2.4675,6.1463,6.1202,0.6216,21.0,386.7981,386.5291,2.9068,16.2989,18.3878,2.2007,21.0,386.0535,385.7749,ok,likely_hand_identity_error,suspected_swap,right,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 14 px from the left reconstruction but 844 px from its own; reconstruction agrees with provided right 3D (2.9 mm),EXCLUDE,per-camera 2D hand identity swap,-829.14
p44-dog-0004,004,brics-odroid-019_cam1,0,ok,28,9,19,2.6507,4.3392,119.0658,1,0,1,ok,29,12,21,2.8763,4.8243,111.3924,1,0,1,15.5896,224.0087,189.5747,43.0914,19,21,10.0546,205.7341,182.3317,25.6743,5.0319,6.5328,7.8696,3.1601,19.0,178.0782,170.7826,3.0709,8.2275,8.1695,1.0941,21.0,178.917,170.8134,ok,likely_hand_identity_error,suspected_swap,right,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (15.6 px),PASS_STRICT,multi-view consistent in 2D and 3D,195.68,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 26 px from the left reconstruction but 182 px from its own; reconstruction agrees with provided right 3D (3.1 mm),EXCLUDE,per-camera 2D hand identity swap,-156.66
p52-instrument-0034,034,brics-odroid-026_cam0,20,ok,32,15,21,3.4112,4.9996,147.0322,1,0,1,ok,33,17,21,3.044,4.7814,144.6855,1,0,1,282.3774,15.9576,275.0845,20.7827,21,21,277.8738,2.6796,285.0183,10.0841,2.9847,4.3806,3.7279,1.0284,21.0,292.6936,290.6587,2.1351,4.3985,4.1803,0.2538,21.0,292.7657,290.8027,ok,likely_hand_identity_error,suspected_swap,left,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out left annotation is 3 px from the right reconstruction but 278 px from its own; reconstruction agrees with provided left 3D (3.0 mm),EXCLUDE,per-camera 2D hand identity swap,-275.19,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out right annotation is 10 px from the left reconstruction but 285 px from its own; reconstruction agrees with provided right 3D (2.1 mm),EXCLUDE,per-camera 2D hand identity swap,-274.93
p36-tea-0010,010,brics-odroid-008_cam0,276,ok,32,12,21,3.2306,4.9431,140.0728,1,0,1,ok,33,14,21,3.2235,4.796,151.2487,1,1,1,299.9756,60.9855,,,21,0,302.4622,42.343,,,4.2515,18.1711,19.4703,1.71,21.0,194.8846,192.2058,2.8329,7.2889,6.8277,0.7431,21.0,196.5753,193.6657,ok,likely_hand_identity_error,suspected_swap,left,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out left annotation is 42 px from the right reconstruction but 302 px from its own; reconstruction agrees with provided left 3D (4.3 mm),EXCLUDE,per-camera 2D hand identity swap,-260.12,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",
p44-dog-0004,004,brics-odroid-009_cam1,180,ok,28,10,21,2.706,4.7323,116.9411,1,0,1,ok,27,10,21,2.77,4.6472,105.7888,1,0,1,51.9982,121.3003,6.034,100.4512,21,21,30.5402,120.79,2.9588,99.6477,3.8765,5.5531,2.5886,2.738,21.0,120.6378,120.0912,3.8075,10.5131,11.6602,2.1872,21.0,120.6098,120.0764,ok,bad_unexplained,unexplained,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 52 px, other 121 px)",EXCLUDE,2D annotation matches no reconstruction,90.25,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (6.0 px),PASS_STRICT,multi-view consistent in 2D and 3D,96.69
p36-tea-0010,010,brics-odroid-027_cam1,180,ok,21,5,21,2.7324,4.2646,80.1615,1,0,1,ok,23,11,21,2.6951,4.522,120.8733,1,0,0,171.2528,29.874,232.6101,69.7024,21,21,183.1208,9.5025,225.2039,61.0039,7.5611,8.9843,4.8795,1.8654,21.0,,,,,,,0.0,197.3605,194.1763,ok,bad_unexplained,unexplained,left,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 5 inlier cameras,REVIEW,insufficient multi-view geometry to decide,-173.62,NOT_CHOSEN_FRAME,frame is not in chosen_frames for this hand,EXCLUDE,no valid 3D pose for this hand on this frame,-164.2
p44-dog-0004,004,brics-odroid-019_cam1,140,ok,29,11,21,2.9372,4.5164,100.8063,1,0,1,ok,28,12,21,3.0008,4.5813,118.3807,1,0,1,28.6444,49.6153,90.9821,97.3485,21,21,9.9738,35.8227,20.8799,26.5731,4.6468,7.0295,7.0092,3.3418,21.0,140.7271,140.296,3.5388,9.0606,7.6651,1.5336,21.0,139.9904,139.3863,ok,bad_unexplained,unexplained,right,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 29 px, other 50 px)",EXCLUDE,2D annotation matches no reconstruction,25.85,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 91 px, other 97 px)",EXCLUDE,2D annotation matches no reconstruction,5.69
p41-plant-0004,004,brics-odroid-014_cam1,120,ok,25,10,21,3.0135,4.4386,128.3913,1,1,1,ok,25,10,21,3.335,4.8375,104.4394,1,0,1,,,178.8965,125.9285,0,21,,,179.2865,105.2744,5.3701,8.2489,4.2956,3.067,21.0,97.8906,94.5181,5.1436,20.0718,20.1567,1.5758,21.0,95.4619,91.8667,ok,bad_unexplained,unexplained,right,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 179 px, other 126 px)",EXCLUDE,2D annotation matches no reconstruction,-74.01
p41-plant-0004,004,brics-odroid-010_cam1,40,ok,25,8,18,3.0487,4.5797,123.996,1,0,1,ok,26,9,20,2.9765,4.8447,112.8576,1,0,1,63.5567,95.7774,17.0451,91.7091,18,20,37.1034,83.3657,18.1373,65.1998,6.1296,13.4807,10.6935,2.8183,18.0,105.2928,102.2139,4.3086,12.8038,13.2584,2.18,20.0,101.1967,97.2492,ok,bad_unexplained,unexplained,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 64 px, other 96 px)",EXCLUDE,2D annotation matches no reconstruction,46.26,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 17 px, other 92 px)",EXCLUDE,2D annotation matches no reconstruction,47.06
p41-plant-0004,004,brics-odroid-022_cam0,40,ok,25,7,20,2.994,4.569,113.9285,1,0,1,ok,26,9,21,2.9012,4.7992,116.4262,1,0,1,55.493,115.5583,13.9237,103.0221,20,21,30.2616,74.6891,11.4319,94.0824,6.0897,6.4873,2.3674,2.9538,20.0,99.9012,96.4818,5.0076,13.0224,13.2584,2.2225,21.0,98.0873,93.736,ok,bad_unexplained,unexplained,left,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 7 inlier cameras,REVIEW,insufficient multi-view geometry to decide,44.43,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (13.9 px),PASS_STRICT,multi-view consistent in 2D and 3D,82.65
p36-tea-0010,010,brics-odroid-028_cam0,236,ok,27,9,21,2.9316,4.5115,127.229,1,0,1,ok,28,10,21,3.3024,4.7457,128.0042,1,1,1,70.2075,316.2098,,,21,0,49.8301,303.5132,,,4.618,12.3167,14.1429,3.1099,21.0,198.8564,195.9267,3.3423,6.7486,6.3676,1.7994,21.0,200.1266,197.3041,ok,bad_unexplained,unexplained,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 70 px, other 316 px)",EXCLUDE,2D annotation matches no reconstruction,253.68,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",
p44-dog-0004,004,brics-odroid-012_cam1,240,ok,30,7,21,2.948,4.7718,126.4885,1,0,1,ok,31,9,21,2.6497,4.4796,124.5422,1,0,1,68.8406,169.434,3.8073,135.5799,21,21,35.9436,165.2061,0.3819,129.8582,7.3283,7.033,5.407,5.1374,21.0,146.5912,139.9441,4.2882,6.0411,4.7999,1.0335,21.0,149.9437,144.4352,ok,bad_unexplained,unexplained,left,UNRESOLVED_INSUFFICIENT_GEOMETRY,only 7 inlier cameras,REVIEW,insufficient multi-view geometry to decide,129.26,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (3.8 px),PASS_STRICT,multi-view consistent in 2D and 3D,129.48
p36-tea-0010,010,brics-odroid-008_cam0,120,ok,30,10,21,2.7478,4.5113,116.1292,1,0,1,ok,29,12,21,3.397,4.7581,124.832,1,1,1,83.3403,244.5566,,,21,0,70.8932,242.3407,,,5.2658,9.2935,7.1702,1.7532,21.0,199.4856,196.932,3.2053,5.6819,5.2326,1.0498,21.0,200.585,197.8371,ok,bad_unexplained,unexplained,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 83 px, other 245 px)",EXCLUDE,2D annotation matches no reconstruction,171.45,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",
p36-tea-0010,010,brics-odroid-021_cam0,236,ok,27,9,21,2.9554,4.4242,131.7857,1,0,1,ok,27,10,21,3.3807,4.6231,127.9949,1,0,1,11.0758,240.1979,58.4018,205.7821,21,21,5.4698,241.7477,69.574,178.2373,4.3071,9.6092,10.073,1.3935,21.0,199.5004,196.8132,3.518,5.5226,5.6095,1.8197,21.0,199.3648,196.547,ok,bad_unexplained,unexplained,right,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (11.1 px),PASS_STRICT,multi-view consistent in 2D and 3D,236.28,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 58 px, other 206 px)",EXCLUDE,2D annotation matches no reconstruction,108.66
p52-instrument-0034,034,brics-odroid-022_cam0,0,ok,35,14,21,3.2946,4.7074,137.247,1,0,1,ok,34,17,21,2.859,4.6251,146.2381,1,0,1,54.8711,334.2305,50.0862,243.964,21,21,54.2226,320.2502,50.0846,231.505,2.4718,4.2222,4.792,1.265,21.0,309.66,307.3196,2.4159,8.4197,7.3422,1.1441,21.0,309.6235,307.2507,ok,bad_unexplained,unexplained,left,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 55 px, other 334 px)",EXCLUDE,2D annotation matches no reconstruction,266.03,BAD_2D_GEOMETRY,"held-out annotation matches neither reconstruction (same 50 px, other 244 px)",EXCLUDE,2D annotation matches no reconstruction,181.42
