q,f,fixed_length_bilateral,candidate_conditioned_bilateral,left_reproj_px,right_reproj_px
0.5,450.0,0.0,0.006581620766836013,13.633220859848596,8.532476561980484
0.50344,453.1,0.0,0.006487522764462865,13.382877397793532,8.293014549034062
0.50691,456.222,0.0,0.006394033721438537,13.13611332995923,8.064084127735072
0.51041,459.366,0.0,0.0063015390401956846,12.894375445670937,7.846524867400031
0.51392,462.531,0.0,0.006209944740291471,12.657636634920806,7.640463827048948
0.51746,465.717,0.0,0.006119242903962058,12.425866290530946,7.4454782328944376
0.52103,468.926,0.0,0.0060294386689939364,12.199036180972236,7.3132197685589375
0.52462,472.157,0.0,0.006034548953357676,11.98344242022392,7.803621883760831
0.52823,475.41,0.0,0.005944903986096033,11.824399518411454,7.712212446984019
0.53187,478.686,0.0,0.0058599394471185035,11.666632761175077,7.627412294467549
0.53554,481.984,0.0,0.005779671380689869,11.510123766090901,7.541887640361769
0.53923,485.305,0.0,0.005703484577530428,11.354884107920082,7.455781214611539
0.54294,488.649,0.0,0.005627976627378217,11.200959421006662,7.3695070888815435
0.54668,492.015,0.0,0.0054284877138066345,11.04840399223859,6.78025558686052
0.55045,495.405,0.0,0.005346926658718005,10.897296468248964,6.650490591330765
0.55424,498.819,0.0,0.005270437654092182,10.747722629263553,6.524271870559108
0.55806,502.255,0.0,0.0051995678907306355,10.575122767282991,6.401473109596329
0.56191,505.716,0.0,0.005129521870384257,10.391142366515986,6.281992876541812
0.56578,509.2,0.0,0.00506031477462939,10.211622813888559,6.165611669780571
0.56968,512.709,0.0,0.004991958644900924,9.987569000293274,6.052270760251544
0.5736,516.241,0.0,0.004924462918134929,9.777938903799306,5.953959047676509
0.57755,519.798,0.0,0.004857841229029956,9.557216591258811,5.869896779762055
0.58153,523.379,0.0,0.004792103106919602,9.34225814348192,5.787388337777649
0.58554,526.986,0.0,0.004727256690648447,9.13735411306843,5.7064446108161775
0.58957,530.616,0.0,0.00466331434292355,8.938118530063534,5.6270571178644975
0.59364,534.272,0.0,0.00460029586775802,8.717884784553485,5.549228855666634
0.59773,537.953,0.0,0.004542676918113749,8.503019716167156,5.472944396644969
0.60184,541.66,0.0,0.004485901800715304,8.293470219448778,5.398200163423288
0.60599,545.392,0.0,0.004477635121045076,8.089142561440834,5.255867860747489
0.61017,549.15,0.0,0.004421628108979834,7.889940503228362,5.184691544582488
0.61437,552.933,0.0,0.00436649513518797,7.731870048140439,5.114991228412816
0.6186,556.743,0.0,0.004312216278562604,7.579738477026668,5.046750911281844
0.62287,560.579,0.0,0.0042587924888445264,7.430732841640271,4.979951283431266
0.62716,564.441,0.0,0.004206217657506845,7.288324879319214,4.914581268054166
0.63148,568.33,0.0,0.004154487661526182,7.172022420960954,4.850601544246831
0.63583,572.246,0.0,0.004103598305227384,7.059307933292168,4.788005539115645
0.64021,576.189,0.0,0.004053540931261191,6.962022264160903,4.726771444638317
0.64462,580.159,0.0,0.004004313261712893,6.867837066796395,4.666875733634859
0.64906,584.156,0.0,0.003955907762649931,6.775557183785031,4.608296069653277
0.65353,588.181,0.0,0.003908315654828819,6.685134852320816,4.551014159469906
0.65804,592.233,0.0,0.0038615308350001764,6.596524456786922,4.4950070310221335
0.66257,596.314,0.0,0.003815545188816609,6.509682240377658,4.441658659463794
0.66714,600.422,0.0,0.0037703511309598995,6.424562635764037,4.3897882643781365
0.67173,604.559,0.0,0.003725937217106447,6.341124335155803,4.33896801401832
0.67636,608.725,0.0,0.0036822959312171376,6.259329117996842,4.289202855682813
0.68102,612.919,0.0,0.0036394191722290067,6.179138020649262,4.2404636432302905
0.68571,617.142,0.0,0.003597292901452493,6.1005122807020715,4.192738028686106
0.69044,621.394,0.0,0.0035559092676022155,6.023416078585578,4.146008547681228
0.69519,625.675,0.0,0.003515255963401365,5.947813671664877,4.10025995349678
0.69998,629.986,0.0,0.0034753238326448526,5.873673654690015,4.048193469013867
0.70481,634.327,0.0,0.003436103624107033,5.80095964352679,3.994394571507045
0.70966,638.697,0.0,0.003397581536428243,5.726799004867576,3.9415959458925167
0.71455,643.098,0.0,0.0033597470250796126,5.653352789917214,3.889782818215192
0.71948,647.529,0.0,0.0033225949508390975,5.581677655907582,3.838938082267976
0.72443,651.99,0.0,0.0032860966286150013,5.511446157185688,3.789048337539362
0.72942,656.482,0.0,0.003250257853238496,5.442883969561246,3.7400956818099913
0.73445,661.005,0.0,0.003213218834912364,5.375853872750874,3.696188029030445
0.73951,665.56,0.0,0.0031782907952015876,5.310308691639008,3.649442776408001
0.74461,670.145,0.0,0.0031439921119803356,5.246208422306633,3.6035854364342494
0.74974,674.763,0.0,0.003110310796300199,5.183509238991647,3.5586013046906415
0.7549,679.412,0.0,0.0030772373953315622,5.122170566835056,3.5144782842825846
0.7601,684.093,0.0,0.0030447581971196195,5.062154185146231,3.4711950409699863
0.76534,688.806,0.0,0.003012862506274794,5.003423707786441,3.4287452324273007
0.77061,693.552,0.0,0.0029815402628433885,4.945521168946037,3.3871127479785494
0.77592,698.331,0.0,0.002950986275864061,4.879338604516205,3.345982136466497
0.78127,703.142,0.0,0.0029206618780463155,4.806698903256029,3.306109785744501
0.78665,707.987,0.0,0.002890965793285732,4.735887320363885,3.2668897026200825
0.79207,712.865,0.0,0.002861818898672682,4.666841412639794,3.2284107848725316
0.79753,717.776,0.0,0.0028331985784608446,4.599504724597785,3.1906743658642736
0.80302,722.722,0.0,0.002805093822252712,4.5302342072640345,3.1536720506864846
0.80856,727.701,0.0,0.0027774922731179557,4.4562599813312636,3.1173945786154356
0.81413,732.715,0.0,0.0027503836558250053,4.383949988977591,3.0823153723899726
0.81974,737.763,0.0,0.0027237589097086146,4.313255712838185,3.0555392206939125
0.82539,742.847,0.0,0.002697608495260383,4.244132075714517,3.0303783490714182
0.83107,747.965,0.0,0.0026719230788144464,4.1765309855254165,3.007737281952495
0.8368,753.118,0.0,0.0026466932568961097,4.110411413065835,2.985523864720462
0.84256,758.307,0.0,0.0026219114347606036,4.04573013988232,2.963737755407739
0.84837,763.532,0.0,0.0025975692161558403,3.9875588226289023,2.9423673539533732
0.85421,768.792,0.0,0.0025736581701260135,3.939412183102152,2.921401382337585
0.8601,774.089,0.0,0.0025501690559674413,3.892297627201227,2.900836255362897
0.86603,779.423,0.0,0.0025270933283533825,3.846190471470709,2.880663053998042
0.87199,784.793,0.0,0.002504424633500655,3.8010677271749964,2.860874728245006
0.878,790.2,0.0,0.0024821543370300144,3.7569054389351404,2.8414633824412254
0.88405,795.645,0.0,0.0024695869758551733,3.7136817368731787,2.8031665361096096
0.89014,801.127,0.0,0.0024482953748983134,3.665592258752144,2.7840053865912386
0.89627,806.646,0.0,0.0024273753399272286,3.613778221313691,2.765214040092731
0.90245,812.204,0.0,0.0024068214496550744,3.5629280492015685,2.746782783986013
