hand,n_views,n_zero_sentinel,zero_sentinel_rate,n_good,n_medium,n_bad,bad_rate_excl_sentinel,err_n,err_mean_px,err_median_px,err_p90_px,err_p95_px,err_max_px
left,4000,950,0.2375,1656,964,430,0.141,3027,41.0335,9.0687,125.2479,265.7881,608.3293
right,4000,929,0.2323,1860,721,490,0.1596,3063,45.8004,7.9081,177.2962,294.8833,852.8653
