sequence,camera,frame,hand,n_valid_joints,n_zero_sentinel_joints,n_compared_joints,zero_sentinel_ratio,is_zero_sentinel_view,image_width,image_height,distortion_applied,err_n,err_mean_px,err_median_px,err_p90_px,err_p95_px,err_max_px,err_median_including_sentinel,camera_family,view_class
p52-instrument-0034/034,brics-odroid-029_cam0,72,right,21,0,21,0.0,0,1280,720,1,21,440.6298,445.1141,454.8129,457.6229,470.3021,445.1141,brics-odroid-029,bad
p52-instrument-0034/034,brics-odroid-029_cam0,90,right,21,0,21,0.0,0,1280,720,1,21,446.0933,444.8273,461.8882,463.8045,478.2809,444.8273,brics-odroid-029,bad
p52-instrument-0034/034,brics-odroid-029_cam0,84,right,21,0,21,0.0,0,1280,720,1,21,444.2124,444.7869,459.7242,460.3525,467.3929,444.7869,brics-odroid-029,bad
p52-instrument-0034/034,brics-odroid-029_cam0,96,right,21,0,21,0.0,0,1280,720,1,21,441.9701,444.3482,458.4404,458.4675,461.0574,444.3482,brics-odroid-029,bad
p52-instrument-0034/034,brics-odroid-029_cam0,84,left,21,0,21,0.0,0,1280,720,1,21,442.0712,441.592,568.1482,573.8708,575.2438,441.592,brics-odroid-029,bad
p41-boxing-0021/021,brics-odroid-026_cam1,252,right,21,0,21,0.0,0,1280,720,1,21,449.3736,441.1742,484.858,497.9427,514.0202,441.1742,brics-odroid-026,bad
p52-instrument-0034/034,brics-odroid-029_cam0,24,left,21,0,21,0.0,0,1280,720,1,21,449.8163,440.9124,540.9067,551.1513,579.2507,440.9124,brics-odroid-029,bad
p41-boxing-0021/021,brics-odroid-029_cam1,252,left,21,0,21,0.0,0,1280,720,1,21,439.9497,440.5188,497.1948,515.9783,521.7544,440.5188,brics-odroid-029,bad
p41-boxing-0021/021,brics-odroid-029_cam1,252,right,21,0,21,0.0,0,1280,720,1,21,441.5121,438.6061,526.3298,526.5824,531.1747,438.6061,brics-odroid-029,bad
p52-instrument-0034/034,brics-odroid-029_cam0,78,left,21,0,21,0.0,0,1280,720,1,21,448.1113,433.4049,577.9009,583.2271,591.7403,433.4049,brics-odroid-029,bad
p52-instrument-0034/034,brics-odroid-029_cam0,90,left,21,0,21,0.0,0,1280,720,1,21,437.8544,431.0469,549.7927,555.3647,556.0648,431.0469,brics-odroid-029,bad
p52-instrument-0034/034,brics-odroid-029_cam0,66,left,21,0,21,0.0,0,1280,720,1,21,439.8993,429.8895,558.7795,588.0986,597.4273,429.8895,brics-odroid-029,bad
p41-boxing-0021/021,brics-odroid-029_cam0,126,right,21,0,21,0.0,0,1280,720,1,21,429.0315,429.7577,447.7187,452.3605,458.6461,429.7577,brics-odroid-029,bad
p41-boxing-0021/021,brics-odroid-029_cam0,126,left,21,0,21,0.0,0,1280,720,1,21,427.6142,429.5679,455.9658,456.0205,456.9211,429.5679,brics-odroid-029,bad
