frame,time_sec,hand,legacy_root_z_m,anycalib_root_z_m,e2_root_z_m
57,1.9,Left,2.224824,0.466348,0.520485
57,1.9,Right,1.158831,0.245266,0.273391
58,1.933,Left,2.221182,0.465592,0.519641
58,1.933,Right,1.162012,0.245922,0.274125
59,1.967,Left,2.199104,0.461014,0.514524
59,1.967,Right,1.155783,0.244629,0.272681
60,2.0,Left,2.230452,0.467514,0.521789
60,2.0,Right,1.156914,0.244866,0.272945
61,2.033,Left,2.200428,0.461288,0.51483
61,2.033,Right,1.176311,0.248893,0.277445
62,2.067,Left,2.236909,0.468854,0.523286
62,2.067,Right,1.167386,0.247039,0.275373
63,2.1,Left,2.226585,0.466712,0.520892
63,2.1,Right,1.17715,0.249059,0.277632
64,2.133,Left,2.244534,0.470433,0.525051
64,2.133,Right,1.173227,0.248248,0.276725
65,2.167,Left,2.255686,0.472746,0.527637
65,2.167,Right,1.176774,0.248985,0.277548
66,2.2,Left,2.268972,0.4755,0.530715
66,2.2,Right,1.173542,0.248316,0.276801
67,2.233,Left,2.249636,0.47149,0.526233
67,2.233,Right,1.175677,0.248758,0.277295
68,2.267,Left,2.239573,0.469403,0.523901
68,2.267,Right,1.157279,0.244941,0.273029
69,2.3,Left,2.217462,0.464818,0.518776
69,2.3,Right,1.15413,0.244289,0.2723
70,2.333,Left,2.240517,0.4696,0.524121
70,2.333,Right,1.166055,0.246762,0.275064
71,2.367,Left,2.245139,0.470559,0.525192
71,2.367,Right,1.177387,0.249115,0.277694
72,2.4,Left,2.244875,0.470504,0.525131
72,2.4,Right,1.163392,0.246211,0.274448
73,2.433,Left,2.254758,0.472553,0.527421
73,2.433,Right,1.164086,0.24635,0.274604
74,2.467,Left,2.255213,0.472647,0.527527
74,2.467,Right,1.164781,0.246492,0.274763
75,2.5,Left,2.257981,0.473221,0.528168
75,2.5,Right,1.175034,0.248623,0.277144
76,2.533,Left,2.268416,0.475385,0.530586
76,2.533,Right,1.169317,0.24744,0.275821
77,2.567,Left,2.254755,0.472552,0.52742
77,2.567,Right,1.177218,0.249079,0.277653
78,2.6,Left,2.24118,0.469736,0.524273
78,2.6,Right,1.161594,0.245836,0.274029
79,2.633,Left,2.222793,0.465925,0.520013
79,2.633,Right,1.150875,0.243612,0.271543
80,2.667,Left,2.237464,0.468967,0.523413
80,2.667,Right,1.170852,0.247755,0.276174
81,2.7,Left,2.256216,0.472856,0.52776
81,2.7,Right,1.178035,0.24925,0.277844
82,2.733,Left,2.243598,0.47024,0.524835
82,2.733,Right,1.167852,0.247136,0.275482
83,2.767,Left,2.252382,0.472061,0.526871
83,2.767,Right,1.150837,0.243604,0.271535
84,2.8,Left,2.281984,0.478199,0.533732
84,2.8,Right,1.181757,0.250014,0.278699
85,2.833,Left,2.270858,0.475891,0.531152
85,2.833,Right,1.186143,0.250926,0.279718
86,2.867,Left,2.272856,0.476306,0.531616
86,2.867,Right,1.172758,0.248153,0.276618
87,2.9,Left,2.253166,0.472223,0.527052
87,2.9,Right,1.177639,0.249163,0.277748
88,2.933,Left,2.274874,0.476724,0.532083
88,2.933,Right,1.183722,0.250425,0.279158
89,2.967,Left,2.271058,0.475934,0.5312
89,2.967,Right,1.181228,0.249907,0.278579
90,3.0,Left,2.288325,0.479514,0.535201
90,3.0,Right,1.178221,0.249283,0.277882
91,3.033,Left,2.265254,0.474729,0.529853
91,3.033,Right,1.173475,0.248299,0.276782
92,3.067,Left,2.287446,0.47933,0.534996
92,3.067,Right,1.173262,0.248255,0.276733
93,3.1,Left,2.273891,0.476521,0.531856
93,3.1,Right,1.19664,0.253102,0.28215
94,3.133,Left,2.270786,0.475877,0.531136
94,3.133,Right,1.188663,0.251446,0.2803
95,3.167,Left,2.265646,0.474811,0.529945
95,3.167,Right,1.196364,0.253041,0.282082
96,3.2,Left,2.277705,0.477312,0.53274
96,3.2,Right,1.198638,0.253515,0.282612
97,3.233,Left,2.273207,0.47638,0.531698
97,3.233,Right,1.199029,0.253598,0.282704
98,3.267,Left,2.281211,0.47804,0.533554
98,3.267,Right,1.196819,0.253141,0.282194
99,3.3,Left,2.269943,0.475704,0.530943
99,3.3,Right,1.190979,0.25193,0.28084
100,3.333,Left,2.28424,0.478668,0.534255
100,3.333,Right,1.184808,0.250651,0.279411
101,3.367,Left,2.273342,0.476407,0.531729
101,3.367,Right,1.17834,0.249308,0.27791
102,3.4,Left,2.249643,0.471493,0.526236
102,3.4,Right,1.187522,0.251212,0.280038
103,3.433,Left,2.244025,0.470327,0.524933
103,3.433,Right,1.193205,0.25239,0.281355
104,3.467,Left,2.233041,0.468049,0.522387
104,3.467,Right,1.187862,0.251283,0.280117
105,3.5,Left,2.22336,0.466042,0.520144
105,3.5,Right,1.185282,0.250745,0.279516
106,3.533,Left,2.219072,0.465154,0.519152
106,3.533,Right,1.185955,0.250886,0.279674
107,3.567,Left,2.217461,0.464819,0.518777
107,3.567,Right,1.188564,0.251425,0.280276
108,3.6,Left,2.21454,0.464214,0.518101
108,3.6,Right,1.189322,0.251585,0.280455
109,3.633,Left,2.205332,0.462303,0.515965
109,3.633,Right,1.190759,0.251882,0.280787
110,3.667,Left,2.183149,0.457702,0.510823
110,3.667,Right,1.175013,0.248618,0.277139
111,3.7,Left,2.195711,0.460308,0.513735
111,3.7,Right,1.175792,0.248779,0.277318
112,3.733,Left,2.184335,0.457949,0.511099
112,3.733,Right,1.172386,0.248072,0.276529
