model,model_label,role,method,N,n_views,median_rel_err_pct,mean_rel_err_pct,p90_rel_err_pct,p95_rel_err_pct,within_5_pct,within_10_pct,within_20_pct,signed_median_err_pct,gain_vs_N1_pp,gain_vs_N1_ci_lo,gain_vs_N1_ci_hi,frac_views_improved_vs_N1,frac_views_worsened_vs_N1
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,mean,1,175,9.617620976331105,10.30890250608827,18.301079333155254,19.91347311958301,18.857142857142858,52.0,95.42857142857143,-9.222545825119646,0.0,0.0,0.0,nan,
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,mean,2,175,9.617620976331109,10.276061134970737,18.301079333155254,19.913473119583006,18.857142857142858,52.0,95.42857142857143,-9.222545825119644,0.0,0.0,0.0,38.285714285714285,26.857142857142858
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,mean,4,175,9.617620976331107,10.260970478163234,18.301079333155258,19.91347311958301,18.857142857142858,52.0,95.42857142857143,-9.222545825119644,0.0,0.0,0.0,37.714285714285715,41.714285714285715
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,mean,8,175,9.617620976331102,10.252260931619361,18.301079333155254,19.913473119583013,18.857142857142858,52.0,95.42857142857143,-9.222545825119639,1.7763568394002505e-15,0.0,2.6645352591003757e-15,53.714285714285715,37.714285714285715
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,median,1,175,9.617620976331105,10.30890250608827,18.301079333155254,19.91347311958301,18.857142857142858,52.0,95.42857142857143,-9.222545825119646,0.0,0.0,0.0,nan,
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,median,2,175,9.617620976331109,10.276061134970737,18.301079333155254,19.913473119583006,18.857142857142858,52.0,95.42857142857143,-9.222545825119644,0.0,0.0,0.0,38.285714285714285,26.857142857142858
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,median,4,175,9.766674803445213,10.300760212642878,18.622578594224198,19.737774669049255,20.0,50.857142857142854,94.85714285714286,-9.233384757113548,-0.0009084908999712482,-0.037086085842135574,0.03574037667738161,49.714285714285715,50.28571428571429
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,median,8,175,9.889594236305198,10.30428942452919,18.681385287471752,19.755167044854254,20.0,51.42857142857142,94.85714285714286,-9.25106535547641,-0.02052180841714968,-0.06559282582067816,0.047086235269617305,49.142857142857146,50.857142857142854
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,geomean,1,175,9.61762097633112,10.308902506088268,18.301079333155254,19.91347311958301,18.857142857142858,52.0,95.42857142857143,-9.222545825119632,0.0,0.0,0.0,nan,
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,geomean,2,175,9.62650337127212,10.28178632024676,18.313731346445035,19.931096942872593,18.857142857142858,52.0,95.42857142857143,-9.232766756136362,-0.003970057400325633,-0.005098790561805622,-0.003097280516689338,12.571428571428573,87.42857142857143
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,geomean,4,175,9.630960458089618,10.269463157046976,18.319979185757216,19.93999792555238,18.857142857142858,52.0,95.42857142857143,-9.237919867831323,-0.005959556420587653,-0.007644991737393525,-0.004641224080089046,12.571428571428573,87.42857142857143
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,geomean,8,175,9.633193027957406,10.261830875200772,18.323083832307013,19.94447110763024,18.857142857142858,52.0,95.42857142857143,-9.240507208674835,-0.006955422070221928,-0.008917291405549754,-0.005412029234081572,12.571428571428573,87.42857142857143
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,log_huber,1,175,9.61762097633112,10.308902506088268,18.301079333155254,19.91347311958301,18.857142857142858,52.0,95.42857142857143,-9.222545825119632,0.0,0.0,0.0,nan,
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,log_huber,2,175,9.62650337127212,10.28178632024676,18.313731346445035,19.931096942872593,18.857142857142858,52.0,95.42857142857143,-9.232766756136362,-0.003970057400325633,-0.005098790561805622,-0.003097280516689338,12.571428571428573,87.42857142857143
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,log_huber,4,175,9.589769798780955,10.288440279859964,18.47615165394839,19.79792695304452,20.0,52.57142857142857,94.85714285714286,-9.194540849656184,0.0012321613005346066,-0.014119045460045498,0.014190257771787174,50.28571428571429,49.714285714285715
anycalib_gen,AnyCalib-gen + radial:2,PRIMARY,log_huber,8,175,9.729968360245724,10.274999298218653,18.591239453964086,19.70666550678189,20.0,52.0,94.85714285714286,-9.230998626731104,-0.004382249044944331,-0.010066214415383357,-0.0026643263780954385,37.714285714285715,62.28571428571429
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,mean,1,175,13.365820876129415,32.316590981940855,56.314893599013445,157.05782192712527,14.285714285714285,35.42857142857142,64.57142857142857,7.9737482209820465,0.0,0.0,0.0,nan,
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,mean,2,175,13.365820876129415,31.13288763853493,56.314893599013445,154.70592906535495,17.142857142857142,36.57142857142857,66.85714285714286,7.9737482209820465,1.7763568394002505e-15,0.0,3.552713678800501e-15,54.285714285714285,16.57142857142857
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,mean,4,175,12.81946530639027,30.24585010289152,56.314893599013445,154.4342396214729,18.285714285714285,38.857142857142854,69.14285714285714,7.973748220982046,1.7763568394002505e-15,0.0,3.552713678800501e-15,53.142857142857146,26.285714285714285
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,mean,8,175,12.696306185587499,29.691304875684473,53.73943130386923,154.43423962147287,18.857142857142858,40.57142857142857,69.14285714285714,7.9737482209820385,7.105427357601002e-15,3.552713678800501e-15,1.2434497875801753e-14,65.14285714285715,25.142857142857146
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,median,1,175,13.365820876129415,32.316590981940855,56.314893599013445,157.05782192712527,14.285714285714285,35.42857142857142,64.57142857142857,7.9737482209820465,0.0,0.0,0.0,nan,
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,median,2,175,13.365820876129415,31.13288763853493,56.314893599013445,154.70592906535495,17.142857142857142,36.57142857142857,66.85714285714286,7.9737482209820465,1.7763568394002505e-15,0.0,3.552713678800501e-15,54.285714285714285,16.57142857142857
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,median,4,175,11.652089877571823,25.85226211342651,41.38593761369132,104.897569578844,20.57142857142857,40.57142857142857,73.14285714285714,6.5778340366069274,0.3384786533995001,0.1901235588103276,0.6272956159739627,70.85714285714285,29.142857142857142
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,median,8,175,11.183800877646032,23.571446272219973,41.31497235925023,70.37603544078303,21.142857142857142,41.714285714285715,72.0,6.201055714013743,0.49797221111116396,0.30741978215048427,0.8101759542778963,68.57142857142857,31.428571428571427
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,geomean,1,175,13.365820876129424,32.316590981940855,56.314893599013445,157.05782192712527,14.285714285714285,35.42857142857142,64.57142857142857,7.9737482209820465,0.0,0.0,0.0,nan,
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,geomean,2,175,13.355745205621629,26.816880218588828,52.887394672658665,109.40339753729664,17.142857142857142,37.142857142857146,66.28571428571428,7.962263418841949,0.060852171373303676,0.026563348702527634,0.12507184100052982,81.14285714285714,18.857142857142858
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,geomean,4,175,12.897041959305426,24.219615255306177,41.14789632867928,92.49437317523852,18.285714285714285,39.42857142857143,69.14285714285714,7.320751308766415,0.09143354539824777,0.035371687843277044,0.1873661166606091,80.0,20.0
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,geomean,8,175,11.563091681082666,22.728297717032234,40.08156287549002,85.41895608477962,20.0,42.857142857142854,71.42857142857143,7.272977077201315,0.10676207123758452,0.04120121482026917,0.21845160006376574,80.0,20.0
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,log_huber,1,175,13.365820876129424,32.316590981940855,56.314893599013445,157.05782192712527,14.285714285714285,35.42857142857142,64.57142857142857,7.9737482209820465,0.0,0.0,0.0,nan,
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,log_huber,2,175,13.355745205621629,26.816880218588828,52.887394672658665,109.40339753729664,17.142857142857142,37.142857142857146,66.28571428571428,7.962263418841949,0.060852171373303676,0.026563348702527634,0.12507184100052982,81.14285714285714,18.857142857142858
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,log_huber,4,175,11.860717315180759,24.02484780894998,42.4098270847809,85.60087307465275,18.857142857142858,40.0,72.0,6.908731322933601,0.1666965804162972,0.11338822907526591,0.45973408388656267,73.71428571428571,26.285714285714285
geocalib_distorted,GeoCalib-distorted + radial,SECONDARY,log_huber,8,175,11.206262305077995,21.941460098267925,35.945052314300284,79.6810801286935,21.714285714285715,42.857142857142854,73.14285714285714,6.567438780638063,0.26252000636624473,0.10866830549301909,0.5541316325827772,76.0,24.0
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,mean,1,175,23.45237265410651,30.527453276444103,64.84473660406435,75.91450240174426,6.857142857142858,20.0,42.857142857142854,23.426540841709816,0.0,0.0,0.0,nan,
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,mean,2,175,23.452372654106508,30.312328545287475,64.84473660406437,75.91450240174426,8.571428571428571,22.285714285714285,43.42857142857143,23.426540841709816,0.0,0.0,0.0,41.714285714285715,23.42857142857143
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,mean,4,175,23.452372654106508,30.21681383312933,64.84473660406435,75.91450240174427,9.142857142857142,22.285714285714285,43.42857142857143,23.426540841709812,0.0,0.0,1.7763568394002505e-15,45.14285714285714,26.285714285714285
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,mean,8,175,23.452372654106508,30.175514299247915,64.84473660406437,75.91450240174426,9.142857142857142,22.285714285714285,43.42857142857143,23.426540841709816,0.0,0.0,3.552713678800501e-15,48.0,36.0
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,median,1,175,23.45237265410651,30.527453276444103,64.84473660406435,75.91450240174426,6.857142857142858,20.0,42.857142857142854,23.426540841709816,0.0,0.0,0.0,nan,
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,median,2,175,23.452372654106508,30.312328545287475,64.84473660406437,75.91450240174426,8.571428571428571,22.285714285714285,43.42857142857143,23.426540841709816,0.0,0.0,0.0,41.714285714285715,23.42857142857143
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,median,4,175,23.69671827887282,30.21939632330301,65.9876638285186,75.46046160067804,9.714285714285714,21.714285714285715,44.0,23.57744869395219,0.1987749193701891,0.035718891597326774,0.3032088746463515,58.857142857142854,41.14285714285714
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,median,8,175,23.879575254125907,30.18198434729762,66.46327672300698,77.22099768605558,11.428571428571429,21.142857142857142,44.0,23.54317266736349,0.1849121821411508,-0.17509770529306934,0.358029227858486,54.85714285714286,45.14285714285714
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,geomean,1,175,23.452372654106505,30.527453276444103,64.84473660406435,75.91450240174426,6.857142857142858,20.0,42.857142857142854,23.42654084170981,0.0,0.0,0.0,nan,
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,geomean,2,175,23.42348809390747,30.20222231314398,64.78114701594406,75.57799160123672,8.571428571428571,22.857142857142858,44.57142857142857,23.388725862478942,0.09520046025777162,0.0720623199043331,0.11907335742005642,87.42857142857143,12.571428571428573
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,geomean,4,175,23.40895098220822,30.04699930152253,64.74921655529806,75.41029915985493,9.142857142857142,22.857142857142858,44.57142857142857,23.36979558365116,0.14224361445771017,0.1059977127598728,0.17916655030360573,87.42857142857143,12.571428571428573
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,geomean,8,175,23.401658890249948,29.974227739726125,64.7332173675317,75.32661322849899,9.714285714285714,23.42857142857143,44.57142857142857,23.360325329068232,0.16514931874836236,0.11167796103130101,0.20724651465703303,87.42857142857143,12.571428571428573
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,log_huber,1,175,23.452372654106505,30.527453276444103,64.84473660406435,75.91450240174426,6.857142857142858,20.0,42.857142857142854,23.42654084170981,0.0,0.0,0.0,nan,
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,log_huber,2,175,23.42348809390747,30.20222231314398,64.78114701594406,75.57799160123672,8.571428571428571,22.857142857142858,44.57142857142857,23.388725862478942,0.09520046025777162,0.0720623199043331,0.11907335742005642,87.42857142857143,12.571428571428573
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,log_huber,4,175,23.75677397994295,30.089901865216593,64.98837608700141,75.57958475727393,9.142857142857142,22.857142857142858,44.0,23.561704263481733,0.120989830016633,0.08195396618887685,0.19208210813052773,66.85714285714286,33.14285714285714
pf_uncentered,PerspectiveFields uncentered (raw),DIVERSITY_BASELINE,log_huber,8,175,23.462595852494328,30.023664719067426,65.03762098098497,75.89015813503919,10.857142857142858,23.42857142857143,44.0,23.360325329068232,0.18126835799675245,0.10502840053786144,0.2441848653302685,72.57142857142857,27.42857142857143
