ensemble,N,n_views,median_rel_err_pct,mean_rel_err_pct,p90_rel_err_pct,p95_rel_err_pct,within_5_pct,within_10_pct,within_20_pct,signed_median_err_pct,gain_vs_primary_median8_pp,ci_lo,ci_hi,frac_views_improved,frac_views_worsened
E1_perframe_mean,1,175,7.7275592858221085,16.85601020510329,32.65892916129048,75.66807072753086,33.14285714285714,60.0,85.14285714285714,-0.7428732632362582,1.3547271972934487,-0.25368181382196653,2.355163530419242,55.42857142857143,44.57142857142857
E1_perframe_mean,2,175,7.361563147255614,16.1258046662974,32.45763049348103,74.01478384087956,34.85714285714286,61.142857142857146,87.42857142857143,-0.7428732632362581,1.5859916624168395,-0.0915282741606962,2.4654877985167136,57.14285714285714,42.857142857142854
E1_perframe_mean,4,175,6.808944833221601,13.589944202187299,20.93707273492179,46.36132298867077,37.142857142857146,65.14285714285715,89.14285714285714,-1.4700222294240604,1.9014008153785777,1.003836267199726,2.696498142502159,60.0,40.0
E1_perframe_mean,8,175,6.5100159517546,12.464376424026918,20.56296302070564,36.00621641963045,38.285714285714285,66.28571428571428,89.14285714285714,-1.8112131072659614,2.2737863949430484,1.0492612964761383,2.9902370127013764,61.71428571428571,38.285714285714285
E2_perframe_geomean,1,175,7.756218794717736,12.80811278371156,30.519063136304432,49.15976024059451,34.285714285714285,62.857142857142854,86.28571428571429,-1.251072400124355,1.5977628776731412,-0.308401590298196,2.3882297473647256,56.57142857142857,43.42857142857143
E2_perframe_geomean,2,175,7.421535010019513,12.092083546392377,25.504078179832206,39.64720548409908,35.42857142857142,64.0,86.85714285714286,-1.251072400124354,1.8658710928285562,0.11150128581642793,2.47356329663235,57.714285714285715,42.285714285714285
E2_perframe_geomean,4,175,6.606658944326398,10.934829467198025,19.65960583617313,35.05113981607173,38.285714285714285,67.42857142857143,90.28571428571428,-1.928793145712923,2.0552387476106118,1.321982527811124,2.934444717394236,62.857142857142854,37.142857142857146
E2_perframe_geomean,8,175,6.137798934114361,10.531327328841018,19.18010498309916,33.55852486847415,38.285714285714285,68.57142857142857,90.28571428571428,-2.361123545670076,2.2332744279910983,1.3232168269140616,2.9990133180571092,63.42857142857142,36.57142857142857
E3_perview_mean,1,175,7.7275592858221085,16.85601020510329,32.65892916129048,75.66807072753086,33.14285714285714,60.0,85.14285714285714,-0.7428732632362582,1.3547271972934487,-0.25368181382196653,2.355163530419242,55.42857142857143,44.57142857142857
E3_perview_mean,2,175,7.361563147255613,16.1258046662974,32.45763049348103,74.01478384087956,34.85714285714286,61.142857142857146,87.42857142857143,-0.7428732632362564,1.5859916624168395,-0.09152827416069265,2.465487798516712,57.14285714285714,42.857142857142854
E3_perview_mean,4,175,6.855888816015293,13.599878746217058,21.048658921496823,46.4848999116756,37.714285714285715,66.28571428571428,89.14285714285714,-1.5037443262335761,1.9079751890359198,1.0246717854247755,2.6557442295688922,61.142857142857146,38.857142857142854
E3_perview_mean,8,175,6.64734047957203,12.468500154939747,21.047627850447597,36.246406086338446,38.857142857142854,66.28571428571428,89.14285714285714,-1.6236719023932735,2.299084404493188,0.9679801011623752,2.962429572250922,62.857142857142854,37.142857142857146
E4_perview_geomean,1,175,7.756218794717736,12.80811278371156,30.519063136304432,49.15976024059451,34.285714285714285,62.857142857142854,86.28571428571429,-1.251072400124355,1.5977628776731412,-0.308401590298196,2.3882297473647256,56.57142857142857,43.42857142857143
E4_perview_geomean,2,175,7.413597758484592,12.578535370683317,28.380513880981574,44.39488469135498,35.42857142857142,63.42857142857142,86.85714285714286,-1.249488179801005,1.8691364015887366,0.012568211616029501,2.4759964778206065,57.714285714285715,42.285714285714285
E4_perview_geomean,4,175,6.621350514441782,11.138506239314227,20.098265711667317,35.43106038838089,38.857142857142854,67.42857142857143,89.71428571428571,-1.894725050395354,2.023160240551764,1.1367253065890037,3.0029551485946913,62.857142857142854,37.142857142857146
E4_perview_geomean,8,175,6.3731443845366496,10.654187118098974,19.855034246787834,33.33741390846322,38.285714285714285,67.42857142857143,89.71428571428571,-2.245898458816099,2.2944215196234143,1.4517834204543618,3.094770639069224,64.0,36.0
E5_three_model_median,1,175,9.37051351648384,11.829295924572492,21.78323765080049,27.182004914474458,21.714285714285715,54.285714285714285,85.71428571428571,2.179231574479937,0.6449913296698346,0.028627967863368298,1.4773080640730605,57.714285714285715,42.285714285714285
E5_three_model_median,2,175,9.37051351648384,12.118838285708827,23.329860885786047,27.48604415295529,21.714285714285715,53.714285714285715,85.14285714285714,2.2781087569966827,0.292436002088452,0.0014930103503516534,1.1999221232733106,57.714285714285715,42.285714285714285
E5_three_model_median,4,175,9.091151094395792,11.623165717148062,22.395598622348487,28.629657095838972,25.71428571428571,57.14285714285714,86.85714285714286,2.0406472710200356,0.35091822975372366,-0.01535609954321604,1.676586443536035,57.14285714285714,42.857142857142854
E5_three_model_median,8,175,8.540677855302524,11.532640069245792,21.896226666757258,29.591102720453847,28.000000000000004,57.14285714285714,86.28571428571429,1.7166048786670163,0.5618117062224464,0.0,1.616059382309452,51.42857142857142,28.000000000000004
SINGLE:anycalib_gen,8,175,9.889594236305198,10.30428942452919,18.681385287471752,19.755167044854254,20.0,51.42857142857142,94.85714285714286,-9.25106535547641,0.0,0.0,0.0,0.0,0.0
SINGLE:geocalib_distorted,8,175,11.183800877646032,23.571446272219973,41.31497235925023,70.37603544078303,21.142857142857142,41.714285714285715,72.0,6.201055714013743,-2.104779040745319,-4.078401105690107,1.0338330098464783,46.85714285714286,53.142857142857146
SINGLE:pf_uncentered,8,175,23.879575254125907,30.18198434729762,66.46327672300698,77.22099768605558,11.428571428571429,21.142857142857142,44.0,23.54317266736349,-12.872630397072406,-18.64386792304601,-9.68180486768241,23.42857142857143,76.57142857142857
