model,N,estimator,deployable,n_views,median_rel_err_pct,mean_rel_err_pct,p90_rel_err_pct,p95_rel_err_pct,within_5_pct,within_10_pct,within_20_pct,deployable_median_for_reference_pct,gap_deployable_minus_oracle_pp
anycalib_gen,1,ORACLE_BEST_OF_N,0,175,9.617620976331105,10.30890250608827,18.301079333155254,19.91347311958301,18.857142857142858,52.0,95.42857142857143,9.617620976331105,0.0
anycalib_gen,2,ORACLE_BEST_OF_N,0,175,8.619024073838876,9.434972882059974,17.448913017486564,19.09258096503689,25.142857142857146,58.285714285714285,96.57142857142857,9.617620976331109,0.998596902492233
anycalib_gen,4,ORACLE_BEST_OF_N,0,175,7.629090698354509,8.688913680447337,16.925926259969646,18.2028705252384,32.0,64.0,96.57142857142857,9.766674803445213,2.1375841050907036
anycalib_gen,8,ORACLE_BEST_OF_N,0,175,6.8488098973590645,8.0278075895796,16.339912011673814,17.936479727278815,38.285714285714285,68.57142857142857,96.57142857142857,9.889594236305198,3.0407843389461338
geocalib_distorted,1,ORACLE_BEST_OF_N,0,175,13.365820876129415,32.316590981940855,56.314893599013445,157.05782192712527,14.285714285714285,35.42857142857142,64.57142857142857,13.365820876129415,0.0
geocalib_distorted,2,ORACLE_BEST_OF_N,0,175,9.81970144933596,18.01888875190551,32.28520766729207,69.104525149361,25.71428571428571,50.857142857142854,77.71428571428571,13.365820876129415,3.546119426793455
geocalib_distorted,4,ORACLE_BEST_OF_N,0,175,6.582938618253224,11.300664490962108,24.694077951460546,33.781171768092044,40.0,62.28571428571429,84.0,11.652089877571823,5.069151259318599
geocalib_distorted,8,ORACLE_BEST_OF_N,0,175,4.7953985936044035,8.627643147091396,20.500837700354587,24.11414622484856,50.857142857142854,70.28571428571428,88.57142857142857,11.183800877646032,6.388402284041629
pf_uncentered,1,ORACLE_BEST_OF_N,0,175,23.45237265410651,30.527453276444103,64.84473660406435,75.91450240174426,6.857142857142858,20.0,42.857142857142854,23.45237265410651,0.0
pf_uncentered,2,ORACLE_BEST_OF_N,0,175,20.080172922759846,26.488306144836507,58.776924920039185,66.78560498332847,14.857142857142858,30.28571428571429,49.714285714285715,23.452372654106508,3.3721997313466616
pf_uncentered,4,ORACLE_BEST_OF_N,0,175,17.19433107570363,23.265313359231374,54.92631223073425,62.4417005664571,24.0,37.714285714285715,56.00000000000001,23.69671827887282,6.502387203169189
pf_uncentered,8,ORACLE_BEST_OF_N,0,175,13.636693489342106,20.54137050053244,52.66993171571714,59.83656780939669,29.142857142857142,42.285714285714285,58.857142857142854,23.879575254125907,10.242881764783801
