model,method,N,within_5_pct,within_10_pct,within_20_pct
anycalib_gen,mean,1,18.857142857142858,52.0,95.42857142857143
anycalib_gen,mean,2,18.857142857142858,52.0,95.42857142857143
anycalib_gen,mean,4,18.857142857142858,52.0,95.42857142857143
anycalib_gen,mean,8,18.857142857142858,52.0,95.42857142857143
anycalib_gen,median,1,18.857142857142858,52.0,95.42857142857143
anycalib_gen,median,2,18.857142857142858,52.0,95.42857142857143
anycalib_gen,median,4,20.0,50.857142857142854,94.85714285714286
anycalib_gen,median,8,20.0,51.42857142857142,94.85714285714286
anycalib_gen,geomean,1,18.857142857142858,52.0,95.42857142857143
anycalib_gen,geomean,2,18.857142857142858,52.0,95.42857142857143
anycalib_gen,geomean,4,18.857142857142858,52.0,95.42857142857143
anycalib_gen,geomean,8,18.857142857142858,52.0,95.42857142857143
anycalib_gen,log_huber,1,18.857142857142858,52.0,95.42857142857143
anycalib_gen,log_huber,2,18.857142857142858,52.0,95.42857142857143
anycalib_gen,log_huber,4,20.0,52.57142857142857,94.85714285714286
anycalib_gen,log_huber,8,20.0,52.0,94.85714285714286
geocalib_distorted,mean,1,14.285714285714285,35.42857142857142,64.57142857142857
geocalib_distorted,mean,2,17.142857142857142,36.57142857142857,66.85714285714286
geocalib_distorted,mean,4,18.285714285714285,38.857142857142854,69.14285714285714
geocalib_distorted,mean,8,18.857142857142858,40.57142857142857,69.14285714285714
geocalib_distorted,median,1,14.285714285714285,35.42857142857142,64.57142857142857
geocalib_distorted,median,2,17.142857142857142,36.57142857142857,66.85714285714286
geocalib_distorted,median,4,20.57142857142857,40.57142857142857,73.14285714285714
geocalib_distorted,median,8,21.142857142857142,41.714285714285715,72.0
geocalib_distorted,geomean,1,14.285714285714285,35.42857142857142,64.57142857142857
geocalib_distorted,geomean,2,17.142857142857142,37.142857142857146,66.28571428571428
geocalib_distorted,geomean,4,18.285714285714285,39.42857142857143,69.14285714285714
geocalib_distorted,geomean,8,20.0,42.857142857142854,71.42857142857143
geocalib_distorted,log_huber,1,14.285714285714285,35.42857142857142,64.57142857142857
geocalib_distorted,log_huber,2,17.142857142857142,37.142857142857146,66.28571428571428
geocalib_distorted,log_huber,4,18.857142857142858,40.0,72.0
geocalib_distorted,log_huber,8,21.714285714285715,42.857142857142854,73.14285714285714
pf_uncentered,mean,1,6.857142857142858,20.0,42.857142857142854
pf_uncentered,mean,2,8.571428571428571,22.285714285714285,43.42857142857143
pf_uncentered,mean,4,9.142857142857142,22.285714285714285,43.42857142857143
pf_uncentered,mean,8,9.142857142857142,22.285714285714285,43.42857142857143
pf_uncentered,median,1,6.857142857142858,20.0,42.857142857142854
pf_uncentered,median,2,8.571428571428571,22.285714285714285,43.42857142857143
pf_uncentered,median,4,9.714285714285714,21.714285714285715,44.0
pf_uncentered,median,8,11.428571428571429,21.142857142857142,44.0
pf_uncentered,geomean,1,6.857142857142858,20.0,42.857142857142854
pf_uncentered,geomean,2,8.571428571428571,22.857142857142858,44.57142857142857
pf_uncentered,geomean,4,9.142857142857142,22.857142857142858,44.57142857142857
pf_uncentered,geomean,8,9.714285714285714,23.42857142857143,44.57142857142857
pf_uncentered,log_huber,1,6.857142857142858,20.0,42.857142857142854
pf_uncentered,log_huber,2,8.571428571428571,22.857142857142858,44.57142857142857
pf_uncentered,log_huber,4,9.142857142857142,22.857142857142858,44.0
pf_uncentered,log_huber,8,10.857142857142858,23.42857142857143,44.0
