model,method,N,n_views,median_rel_err_pct,mean_rel_err_pct,p90_rel_err_pct,p95_rel_err_pct,within_5_pct,within_10_pct,within_20_pct,delta_vs_median_pp,ci_lo,ci_hi,frac_improved_vs_median
anycalib_gen,mean,8,175,9.617620976331102,10.252260931619361,18.301079333155254,19.913473119583013,18.857142857142858,52.0,95.42857142857143,0.05095043040277325,-0.021653739504980507,0.07756598786989777,54.85714285714286
anycalib_gen,median,8,175,9.889594236305198,10.30428942452919,18.681385287471752,19.755167044854254,20.0,51.42857142857142,94.85714285714286,0.0,0.0,0.0,0.0
anycalib_gen,geomean,8,175,9.633193027957406,10.261830875200772,18.323083832307013,19.94447110763024,18.857142857142858,52.0,95.42857142857143,0.038867299723348125,-0.02713795297244026,0.06703186635390779,54.85714285714286
anycalib_gen,log_huber,8,175,9.729968360245724,10.274999298218653,18.591239453964086,19.70666550678189,20.0,52.0,94.85714285714286,0.01735656119684137,-0.0192634294659344,0.03838472259823078,53.714285714285715
geocalib_distorted,mean,8,175,12.696306185587499,29.691304875684473,53.73943130386923,154.43423962147287,18.857142857142858,40.57142857142857,69.14285714285714,-0.06069904916064672,-0.2605584538255159,0.07724411659804442,46.285714285714285
geocalib_distorted,median,8,175,11.183800877646032,23.571446272219973,41.31497235925023,70.37603544078303,21.142857142857142,41.714285714285715,72.0,0.0,0.0,0.0,0.0
geocalib_distorted,geomean,8,175,11.563091681082666,22.728297717032234,40.08156287549002,85.41895608477962,20.0,42.857142857142854,71.42857142857143,-0.02414503337974505,-0.17489509046969243,0.13997785016286102,48.0
geocalib_distorted,log_huber,8,175,11.206262305077995,21.941460098267925,35.945052314300284,79.6810801286935,21.714285714285715,42.857142857142854,73.14285714285714,-0.02705401506122662,-0.1213986922505299,0.08785918321204195,49.142857142857146
pf_uncentered,mean,8,175,23.452372654106508,30.175514299247915,64.84473660406437,75.91450240174426,9.142857142857142,22.285714285714285,43.42857142857143,0.15014801742364625,-0.1634847923650522,0.39711378593541724,52.57142857142857
pf_uncentered,median,8,175,23.879575254125907,30.18198434729762,66.46327672300698,77.22099768605558,11.428571428571429,21.142857142857142,44.0,0.0,0.0,0.0,0.0
pf_uncentered,geomean,8,175,23.401658890249948,29.974227739726125,64.7332173675317,75.32661322849899,9.714285714285714,23.42857142857143,44.57142857142857,0.22096972238205836,-0.024757104338753777,0.4740467045727357,57.14285714285714
pf_uncentered,log_huber,8,175,23.462595852494328,30.023664719067426,65.03762098098497,75.89015813503919,10.857142857142858,23.42857142857143,44.0,0.1590443412933329,-0.0028790094084811813,0.3787754290543681,57.14285714285714
