camera,model,N,n_views,median_rel_err_pct
brics-odroid-008_cam0,pf_uncentered,8,4,22.097489137469957
brics-odroid-009_cam1,anycalib_gen,1,4,16.08647450699131
brics-odroid-009_cam1,anycalib_gen,2,4,16.08647450699131
brics-odroid-009_cam1,anycalib_gen,4,4,16.151308947223985
brics-odroid-009_cam1,anycalib_gen,8,4,16.208258228756854
brics-odroid-009_cam1,geocalib_distorted,1,4,20.078819200274317
brics-odroid-009_cam1,geocalib_distorted,2,4,20.078819200274317
brics-odroid-009_cam1,geocalib_distorted,4,4,20.33325351433394
brics-odroid-009_cam1,geocalib_distorted,8,4,20.779656619355766
brics-odroid-009_cam1,pf_uncentered,1,4,15.979107040145736
brics-odroid-009_cam1,pf_uncentered,2,4,15.030529562213097
brics-odroid-009_cam1,pf_uncentered,4,4,15.443651491054503
brics-odroid-009_cam1,pf_uncentered,8,4,16.121498073624238
brics-odroid-010_cam0,anycalib_gen,1,4,6.316480214967596
brics-odroid-010_cam0,anycalib_gen,2,4,6.316480214967596
brics-odroid-010_cam0,anycalib_gen,4,4,6.204735102085089
brics-odroid-010_cam0,anycalib_gen,8,4,6.244947380321716
brics-odroid-010_cam0,geocalib_distorted,1,4,14.886977689099464
brics-odroid-010_cam0,geocalib_distorted,2,4,14.886977689099465
brics-odroid-010_cam0,geocalib_distorted,4,4,14.451956800441636
brics-odroid-010_cam0,geocalib_distorted,8,4,14.675416502441877
brics-odroid-010_cam0,pf_uncentered,1,4,9.378903771060756
brics-odroid-010_cam0,pf_uncentered,2,4,9.251930969685816
brics-odroid-010_cam0,pf_uncentered,4,4,8.72610280912035
brics-odroid-010_cam0,pf_uncentered,8,4,8.185948003642547
brics-odroid-010_cam1,anycalib_gen,1,4,12.237820979718276
brics-odroid-010_cam1,anycalib_gen,2,4,12.237820979718276
brics-odroid-010_cam1,anycalib_gen,4,4,12.646712083316022
brics-odroid-010_cam1,anycalib_gen,8,4,13.308897249514702
brics-odroid-010_cam1,geocalib_distorted,1,4,27.764410984148206
brics-odroid-010_cam1,geocalib_distorted,2,4,27.764410984148203
brics-odroid-010_cam1,geocalib_distorted,4,4,25.206211083322863
brics-odroid-010_cam1,geocalib_distorted,8,4,25.079785140711408
brics-odroid-010_cam1,pf_uncentered,1,4,28.879102749165618
brics-odroid-010_cam1,pf_uncentered,2,4,28.879102749165618
brics-odroid-010_cam1,pf_uncentered,4,4,29.696531427085475
brics-odroid-010_cam1,pf_uncentered,8,4,30.36335899740225
brics-odroid-011_cam0,anycalib_gen,1,4,8.594091055389836
brics-odroid-011_cam0,anycalib_gen,2,4,8.594091055389836
brics-odroid-011_cam0,anycalib_gen,4,4,8.511441295306032
brics-odroid-011_cam0,anycalib_gen,8,4,8.49607399279278
brics-odroid-011_cam0,geocalib_distorted,1,4,15.028113963560765
brics-odroid-011_cam0,geocalib_distorted,2,4,15.028113963560765
brics-odroid-011_cam0,geocalib_distorted,4,4,15.366134353194465
brics-odroid-011_cam0,geocalib_distorted,8,4,15.606076476021595
brics-odroid-011_cam0,pf_uncentered,1,4,32.23518687489893
brics-odroid-011_cam0,pf_uncentered,2,4,32.23518687489893
brics-odroid-011_cam0,pf_uncentered,4,4,31.750590609585373
brics-odroid-011_cam0,pf_uncentered,8,4,32.17743739703057
brics-odroid-012_cam0,anycalib_gen,1,4,8.404145417631923
brics-odroid-012_cam0,anycalib_gen,2,4,8.404145417631925
brics-odroid-012_cam0,anycalib_gen,4,4,8.42839708564898
brics-odroid-012_cam0,anycalib_gen,8,4,8.408146110715247
brics-odroid-012_cam0,geocalib_distorted,1,4,6.063462805401319
brics-odroid-012_cam0,geocalib_distorted,2,4,6.06346280540132
brics-odroid-012_cam0,geocalib_distorted,4,4,5.677184434015194
brics-odroid-012_cam0,geocalib_distorted,8,4,5.425785948572534
brics-odroid-012_cam0,pf_uncentered,1,4,26.305876754637673
brics-odroid-012_cam0,pf_uncentered,2,4,26.305876754637676
brics-odroid-012_cam0,pf_uncentered,4,4,26.806092351948983
brics-odroid-012_cam0,pf_uncentered,8,4,27.25765859735152
brics-odroid-012_cam1,anycalib_gen,1,5,8.24374813028468
brics-odroid-012_cam1,anycalib_gen,2,5,8.243748130284677
brics-odroid-012_cam1,anycalib_gen,4,5,8.288808188951117
brics-odroid-012_cam1,anycalib_gen,8,5,8.240718658682407
brics-odroid-012_cam1,geocalib_distorted,1,5,25.687064198606713
brics-odroid-012_cam1,geocalib_distorted,2,5,25.687064198606713
brics-odroid-012_cam1,geocalib_distorted,4,5,10.038842965873746
brics-odroid-012_cam1,geocalib_distorted,8,5,7.974315761534243
brics-odroid-012_cam1,pf_uncentered,1,5,17.5779744690486
brics-odroid-012_cam1,pf_uncentered,2,5,17.5779744690486
brics-odroid-012_cam1,pf_uncentered,4,5,17.039500657141897
brics-odroid-012_cam1,pf_uncentered,8,5,17.53991290385439
brics-odroid-014_cam1,anycalib_gen,1,4,10.414841686502278
brics-odroid-014_cam1,anycalib_gen,2,4,10.414841686502278
brics-odroid-014_cam1,anycalib_gen,4,4,10.74139871400493
brics-odroid-014_cam1,anycalib_gen,8,4,10.917662648983207
