agreement_metric,target,n_views,spearman_rho,spearman_p,bin0_median_err_pct,bin1_median_err_pct,bin2_median_err_pct,bin3_median_err_pct
disagreement_3model,primary_rel_err_pct,175,0.14417375727720555,0.056971613259395974,6.906506549210927,9.889594236305198,11.330502581749517,9.996310831937542
disagreement_3model,ensemble_e4_rel_err_pct,175,0.3041065830721003,4.28684811494312e-05,5.260222660821914,5.87282782521762,5.38105896118512,12.562031607808516
disagreement_3model,ensemble_e5_rel_err_pct,175,0.09309673085535154,0.2204278442585162,6.120104496895223,8.195591937727716,10.197129749574925,9.208521416890232
disagreement_2model,primary_rel_err_pct,175,0.20761979399910435,0.00583386142809261,8.894820876158798,7.655240901013494,9.904272323851966,12.282826023676414
disagreement_2model,ensemble_e4_rel_err_pct,175,0.08256381549484998,0.27737059250013196,7.448950116802713,5.295232886532024,4.728531359631486,10.194583123554434
disagreement_2model,ensemble_e5_rel_err_pct,175,0.35146887595163456,1.849365858298412e-06,5.738282758414085,6.00973334784682,10.355395760857622,15.3701399706672
