sequence,camera,disagreement_3model,log_spread_3model,disagreement_2model,primary_rel_err_pct,ensemble_e4_rel_err_pct,ensemble_e5_rel_err_pct
p36-tea-0010,brics-odroid-001_cam0,0.16698441503288752,0.1650384127875234,0.07190061939178921,14.913528935028362,11.79762805615321,8.567621630703428
p36-tea-0010,brics-odroid-001_cam1,0.2625335712646477,0.2622419900316679,0.13267839649977173,11.180280505427936,5.078952709429734,1.4414959877158138
p36-tea-0010,brics-odroid-002_cam0,0.5024376774547937,0.4389607099893742,0.09236865182353346,6.502643892438739,10.72549453236345,6.502643892438739
p36-tea-0010,brics-odroid-006_cam0,0.42475725879171833,0.41121675177441774,0.17976045441902774,7.784489661041873,0.912295644615886,10.429269163457043
p36-tea-0010,brics-odroid-007_cam0,0.1887374763380001,0.19954209653251245,0.1988826241248002,3.9992926962277493,6.072901471801903,12.33138416125453
p36-tea-0010,brics-odroid-007_cam1,1.0469725978049922,0.9204329044519011,0.8605212190196547,6.637765600240241,47.924701859604944,34.68562904104671
p36-tea-0010,brics-odroid-008_cam0,0.19150547763996315,0.18208714586852665,0.04198749386531148,0.1290768992782076,2.2536973985812265,4.423399830184501
p36-tea-0010,brics-odroid-009_cam1,0.36384930755335065,0.4044805846269501,0.3990547644737275,18.918007036795498,0.7441168578042562,11.093559553173915
p36-tea-0010,brics-odroid-010_cam0,0.2610210845888611,0.2670449410377297,0.1589717866635159,2.4791155869410577,10.97588835743425,20.17714756987127
p36-tea-0010,brics-odroid-010_cam1,0.5110098055905272,0.4260103050084059,0.03862556859182454,13.637670116023108,11.95335155670743,10.236183848774905
p36-tea-0010,brics-odroid-011_cam0,0.4928020022221159,0.48120905211221443,0.22546623737476615,12.554680455195191,2.0724383937056503,9.666330594640868
p36-tea-0010,brics-odroid-012_cam0,0.5269998626972062,0.442785833190416,0.05542047534783588,6.057019657648328,3.416749147830461,0.7022737496898264
p36-tea-0010,brics-odroid-012_cam1,0.5014141244706046,0.4694816552401733,0.17763544226549574,12.772627282704056,20.204604096059974,12.772627282704056
p36-tea-0010,brics-odroid-014_cam1,0.11801844776452003,0.1254130543328897,0.12397441371781177,10.052854089510193,4.293232277666874,1.835197716800418
p36-tea-0010,brics-odroid-015_cam0,0.23044875728984815,0.20869132959855288,0.20793720217495143,10.906237754846867,1.1073430796050505,10.281522358258202
p36-tea-0010,brics-odroid-015_cam1,0.19021440852890673,0.20908348328556758,0.20832510897567097,14.70259678196572,5.302674995302212,4.280908119396861
p36-tea-0010,brics-odroid-016_cam0,0.10359068276156247,0.10610441947882786,0.0774587994125667,2.935698591849833,7.002616687345049,11.230215897572366
p36-tea-0010,brics-odroid-017_cam0,0.14916923387949022,0.15056124115428432,0.08546135897496529,4.767896260177839,0.6077816284955343,3.7340632503313604
p36-tea-0010,brics-odroid-017_cam1,0.2890979164340612,0.324441529312575,0.28008979626076547,8.361601790445372,5.511689778007437,21.48528234149919
p36-tea-0010,brics-odroid-019_cam1,0.16571527638869565,0.17663221833452036,0.17617441839548997,0.6391745568683309,9.93152809874995,17.325944655865
p36-tea-0010,brics-odroid-020_cam0,0.4265872649848178,0.39360391452502674,0.12262297150061917,7.109643397721969,1.2285770854851463,5.024830794100973
p36-tea-0010,brics-odroid-020_cam1,0.5041626548204413,0.49816567530271494,0.24618092893093277,13.478839441388038,2.0843052186490176,10.810849306856468
p36-tea-0010,brics-odroid-021_cam0,0.950583312448456,0.6803561967842433,0.024930479367369217,9.943565881460296,11.059230743150938,9.943565881460296
p36-tea-0010,brics-odroid-021_cam1,0.5199011543143133,0.4977215493898257,0.2147327071566174,14.918316586680758,5.235623479103695,5.5490053454721595
p36-tea-0010,brics-odroid-022_cam0,0.3690686139949655,0.332323498901135,0.0658616361414022,9.40721884641075,6.3731443845366496,3.2374546755868434
p36-tea-0010,brics-odroid-022_cam1,0.7307918730341623,0.6451708406022083,0.21442833814821774,6.413266055600365,15.962694643709344,6.413266055600365
p36-tea-0010,brics-odroid-023_cam0,0.4589771865497535,0.4925203574970222,0.48279993668989407,5.3870970469222454,21.031887066994663,31.19389210934791
p36-tea-0010,brics-odroid-024_cam0,1.7422206297939775,1.308943684255649,1.1493453693911306,12.218021262526776,68.90358820515003,36.15371319238726
p36-tea-0010,brics-odroid-024_cam1,0.8783925283881067,0.6540262083245427,0.049816482651095784,10.279313321934126,8.015989996968706,5.695571339109616
