protocol,feature_set,n_features,n_views_predicted,mae_log_bias,median_abs_log_bias_error,r2,spearman_pred_vs_actual,alpha_mode,status
A_LOSO,P0_baseline,0,175,0.062033283008226636,0.0495030252000473,-0.008277756445751017,-0.11706784938017575,,deployable feature group
A_LOSO,P1,16,175,0.06057178406741159,0.04518547859909576,0.018773702970456108,0.1607881773399015,100,deployable feature group
A_LOSO,P2,7,175,0.07397902619207312,0.052350482117938746,-0.4893278263002887,-0.02712270488132557,100,deployable feature group
A_LOSO,P3,8,175,0.06636044554698597,0.054061754624478625,-0.13008626136425772,-0.13862516793551277,100,deployable feature group
A_LOSO,P4,8,175,0.015200651598118802,0.010984722778559497,0.9345986367488329,0.9594178235557547,1,deployable feature group
A_LOSO,P5,3,175,0.06064738215530782,0.04825163787374834,0.004113282214102454,0.18188759516345726,100,deployable feature group
A_LOSO,P6,31,175,0.06373230884604078,0.0545432692165253,-0.0008600958792726043,0.23876847290640396,100,deployable feature group
A_LOSO,P7,42,175,0.018351081302685722,0.013824259038317743,0.9119193706194425,0.9449686520376177,1,deployable feature group
A_LOSO,D_CAMERA_ID,0,175,0.052743704663555956,0.03899458373548992,0.19470040953691647,0.4631079265562024,0.01,ORACLE_OR_RIG_SPECIFIC_DIAGNOSTIC
A_LOSO,D_SEQUENCE_ID,0,175,0.062026091653144905,0.04929441463944966,-0.008262801611566895,-0.11706784938017575,100,SEQUENCE_SPECIFIC_DIAGNOSTIC
