condition,n_hands,focal_used_px_median,abs_z_error_mm_n,abs_z_error_mm_mean,abs_z_error_mm_median,abs_z_error_mm_p90,abs_z_error_mm_p95,root_xyz_error_mm_n,root_xyz_error_mm_mean,root_xyz_error_mm_median,root_xyz_error_mm_p90,root_xyz_error_mm_p95,absolute_mpjpe_mm_n,absolute_mpjpe_mm_mean,absolute_mpjpe_mm_median,absolute_mpjpe_mm_p90,absolute_mpjpe_mm_p95,root_aligned_mpjpe_mm_n,root_aligned_mpjpe_mm_mean,root_aligned_mpjpe_mm_median,root_aligned_mpjpe_mm_p90,root_aligned_mpjpe_mm_p95,signed_z_error_mm_n,signed_z_error_mm_mean,signed_z_error_mm_median,signed_z_error_mm_p90,signed_z_error_mm_p95,bimanual_absolute_mpjpe_mm_median,lr_root_distance_error_mm_median
PIPELINE_BASELINE,2210,5000.0,2210,2946.242,2881.594,4231.971,4505.64,2210,2946.705,2881.885,4232.102,4506.62,2210,2944.416,2885.314,4243.297,4517.419,2210,35.997,34.404,51.49,61.561,2210,2946.242,2881.594,4231.971,4505.64,2780.956,432.466
GT_x1.00,2210,922.77,2210,69.732,58.882,141.134,178.794,2210,88.873,78.54,152.842,185.527,2210,79.648,68.68,136.078,173.346,2210,35.997,34.404,51.49,61.561,2210,-16.438,-20.182,86.278,135.671,72.718,-26.856
